-110	23														
-120	Animal	Exp	Trial	Date	Time	Phase	Fre No. Phase	Fre No. Part	Time from [s]	Time to [s]	Dur. [s]	Part No. Start	Part No. End	Name Start	Name End
-900	10005	1	1	06.06.2018	13:26	1	59	59	131,59	132,43	0,84	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	60	60	132,70	134,28	1,58	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	61	61	134,28	134,92	0,64	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	62	62	135,66	136,50	0,84	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	63	63	137,00	138,50	1,50	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	64	64	139,88	141,26	1,38	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	65	65	141,28	141,87	0,59	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	66	66	142,69	143,46	0,77	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	67	67	144,08	144,75	0,67	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	68	68	144,75	145,86	1,11	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	69	69	145,95	146,77	0,82	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	70	70	146,77	147,31	0,54	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	71	71	147,66	148,31	0,65	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	72	72	149,40	151,74	2,34	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	73	73	152,51	153,32	0,81	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	74	74	153,32	154,89	1,57	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	75	75	155,27	156,38	1,11	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	76	76	157,36	158,29	0,93	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	77	77	158,29	159,44	1,15	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	78	78	159,46	160,37	0,91	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	79	79	160,53	161,91	1,38	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	80	80	161,96	162,50	0,54	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	81	81	162,52	164,74	2,22	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	82	82	165,31	166,51	1,20	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	83	83	166,61	167,28	0,67	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	84	84	167,99	174,51	6,52	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	85	85	175,58	176,21	0,63	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	86	86	177,74	178,87	1,13	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	87	87	178,89	179,99	1,10	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	1	1	0,00	1,29	1,29	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	2	2	1,31	3,03	1,72	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	3	3	3,03	3,76	0,73	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	4	4	3,96	7,79	3,83	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	5	5	8,26	9,65	1,39	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:30	2	6	6	9,80	13,29	3,49	1	1	Habituation	Habituation
