-110	23														
-120	Animal	Exp	Trial	Date	Time	Phase	Fre No. Phase	Fre No. Part	Time from [s]	Time to [s]	Dur. [s]	Part No. Start	Part No. End	Name Start	Name End
-900	10005	1	1	05.08.2018	14:34	3	10	10	19,61	20,39	0,78	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	11	11	20,39	33,82	13,43	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	12	12	33,85	38,84	4,99	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	13	13	38,85	80,50	41,65	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	14	14	80,89	81,76	0,87	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	15	15	81,78	84,58	2,80	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	16	16	84,60	93,98	9,38	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	17	17	94,30	95,59	1,29	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	18	18	95,59	110,24	14,65	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	19	19	110,28	110,90	0,62	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	20	20	111,06	111,68	0,62	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	21	21	112,18	114,15	1,97	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	22	22	114,16	124,86	10,70	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	23	23	124,88	141,77	16,89	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	24	24	142,19	144,41	2,22	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	25	25	144,43	146,47	2,04	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	26	26	146,49	150,58	4,09	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	27	27	150,60	153,76	3,16	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	28	28	153,76	154,35	0,59	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	29	29	154,35	156,00	1,65	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	30	30	156,00	161,83	5,83	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	31	31	161,83	165,15	3,32	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	32	32	165,33	174,02	8,69	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:34	3	33	33	174,05	179,99	5,94	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	1	1	0,00	4,10	4,10	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	2	2	4,10	5,54	1,44	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	3	3	5,89	8,40	2,51	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	4	4	8,41	15,92	7,51	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	5	5	15,92	16,77	0,85	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	6	6	16,77	27,63	10,86	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	7	7	27,63	28,38	0,75	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	8	8	28,38	29,35	0,97	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	9	9	29,37	32,23	2,86	1	1	Habituation	Habituation
-900	10005	1	1	05.08.2018	14:38	4	10	10	32,23	34,32	2,09	1	1	Habituation	Habituation
