-110	23														
-120	Animal	Exp	Trial	Date	Time	Phase	Fre No. Phase	Fre No. Part	Time from [s]	Time to [s]	Dur. [s]	Part No. Start	Part No. End	Name Start	Name End
-900	10005	1	1	06.07.2018	14:11	2	42	42	108,78	109,55	0,77	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	43	43	109,64	110,19	0,55	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	44	44	113,60	114,61	1,01	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	45	45	115,68	116,21	0,53	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	46	46	117,37	118,52	1,15	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	47	47	119,99	121,54	1,55	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	48	48	122,16	123,23	1,07	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	49	49	123,71	124,74	1,03	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	50	50	129,06	129,64	0,58	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	51	51	129,64	130,32	0,68	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	52	52	133,84	134,62	0,78	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	53	53	138,92	139,50	0,58	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	54	54	140,04	142,19	2,15	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	55	55	143,31	143,84	0,53	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	56	56	150,33	151,13	0,80	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	57	57	152,01	152,58	0,57	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	58	58	152,69	153,49	0,80	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	59	59	153,83	154,80	0,97	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	60	60	157,10	159,12	2,02	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	61	61	161,02	162,27	1,25	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	62	62	162,98	164,90	1,92	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	63	63	165,06	168,02	2,96	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	64	64	168,81	170,83	2,02	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	65	65	170,92	171,43	0,51	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	66	66	171,43	172,07	0,64	1	1	Habituation	Habituation
