"seconds","M_10006","average","SE"
-2,-4.34461252307851,-4.34461252307851,NA
-1.99,-4.36001334750333,-4.36001334750333,NA
-1.98,-4.37542197032947,-4.37542197032947,NA
-1.97,-4.39081093701212,-4.39081093701212,NA
-1.96,-4.40612693436816,-4.40612693436816,NA
-1.95,-4.42129128728495,-4.42129128728495,NA
-1.94,-4.43620100098034,-4.43620100098034,NA
-1.93,-4.45073033463804,-4.45073033463804,NA
-1.92,-4.46473288511878,-4.46473288511878,NA
-1.91,-4.47804414930869,-4.47804414930869,NA
-1.9,-4.49048452415748,-4.49048452415748,NA
-1.89,-4.50186269438005,-4.50186269438005,NA
-1.88,-4.51197935179713,-4.51197935179713,NA
-1.87,-4.52063118386278,-4.52063118386278,NA
-1.86,-4.52761506422888,-4.52761506422888,NA
-1.85,-4.53273237500388,-4.53273237500388,NA
-1.84,-4.53579338491966,-4.53579338491966,NA
-1.83,-4.53662160701737,-4.53662160701737,NA
-1.82,-4.53505805939995,-4.53505805939995,NA
-1.81,-4.53096535266165,-4.53096535266165,NA
-1.8,-4.52423153046934,-4.52423153046934,NA
-1.79,-4.51477359167057,-4.51477359167057,NA
-1.78,-4.50254062628938,-4.50254062628938,NA
-1.77,-4.48751650478008,-4.48751650478008,NA
-1.76,-4.46972206760931,-4.46972206760931,NA
-1.75,-4.44921677118031,-4.44921677118031,NA
-1.74,-4.42609975395892,-4.42609975395892,NA
-1.73,-4.4005102919823,-4.4005102919823,NA
-1.72,-4.37262762207657,-4.37262762207657,NA
-1.71,-4.34267012469094,-4.34267012469094,NA
-1.7,-4.31089386865105,-4.31089386865105,NA
-1.69,-4.27759052964066,-4.27759052964066,NA
-1.68,-4.24308470413071,-4.24308470413071,NA
-1.67,-4.207730649407,-4.207730649407,NA
-1.66,-4.17190849332712,-4.17190849332712,NA
-1.65,-4.13601996480406,-4.13601996480406,NA
-1.64,-4.10048370246414,-4.10048370246414,NA
-1.63,-4.06573020727214,-4.06573020727214,NA
-1.62,-4.03219650980254,-4.03219650980254,NA
-1.61,-4.00032063025594,-4.00032063025594,NA
-1.6,-3.97053591417495,-3.97053591417495,NA
-1.59,-3.94326532630646,-3.94326532630646,NA
-1.58,-3.91891578605615,-3.91891578605615,NA
-1.57,-3.89787262832593,-3.89787262832593,NA
-1.56,-3.88049427213986,-3.88049427213986,NA
-1.55,-3.86710717926441,-3.86710717926441,NA
-1.54,-3.85800118139922,-3.85800118139922,NA
-1.53,-3.85342524779573,-3.85342524779573,NA
-1.52,-3.85358375894321,-3.85358375894321,NA
-1.51,-3.8586333444062,-3.8586333444062,NA
-1.5,-3.86868033393542,-3.86868033393542,NA
-1.49,-3.88377886311269,-3.88377886311269,NA
-1.48,-3.90392966511333,-3.90392966511333,NA
-1.47,-3.92907957011219,-3.92907957011219,NA
-1.46,-3.95912172384045,-3.95912172384045,NA
-1.45,-3.99389652360485,-3.99389652360485,NA
-1.44,-4.03319325879414,-4.03319325879414,NA
-1.43,-4.07675243453711,-4.07675243453711,NA
-1.42,-4.12426874808675,-4.12426874808675,NA
-1.41,-4.17539467646032,-4.17539467646032,NA
-1.4,-4.22974462434006,-4.22974462434006,NA
-1.39,-4.28689957292448,-4.28689957292448,NA
-1.38,-4.34641216399963,-4.34641216399963,NA
-1.37,-4.40781214711232,-4.40781214711232,NA
-1.36,-4.470612111965,-4.470612111965,NA
-1.35,-4.53431342628994,-4.53431342628994,NA
-1.34,-4.59841229422158,-4.59841229422158,NA
-1.33,-4.66240584842083,-4.66240584842083,NA
-1.32,-4.72579819213322,-4.72579819213322,NA
-1.31,-4.78810630580521,-4.78810630580521,NA
-1.3,-4.84886573488977,-4.84886573488977,NA
-1.29,-4.90763598083469,-4.90763598083469,NA
-1.28,-4.96400552160702,-4.96400552160702,NA
-1.27,-5.0175963950539,-5.0175963950539,NA
-1.26,-5.06806828581018,-5.06806828581018,NA
-1.25,-5.11512206371532,-5.11512206371532,NA
-1.24,-5.15850272955026,-5.15850272955026,NA
-1.23,-5.19800173216012,-5.19800173216012,NA
-1.22,-5.23345863258308,-5.23345863258308,NA
-1.21,-5.26476210085374,-5.26476210085374,NA
-1.2,-5.29185024087366,-5.29185024087366,NA
-1.19,-5.31471024978631,-5.31471024978631,NA
-1.18,-5.33337742650714,-5.33337742650714,NA
-1.17,-5.34793355202744,-5.34793355202744,NA
-1.16,-5.35850467341457,-5.35850467341457,NA
-1.15,-5.36525833392616,-5.36525833392616,NA
-1.14,-5.36840029930198,-5.36840029930198,NA
-1.13,-5.36817083861705,-5.36817083861705,NA
-1.12,-5.36484062164041,-5.36484062164041,NA
-1.11,-5.35870629700182,-5.35870629700182,NA
-1.1,-5.35008581923451,-5.35008581923451,NA
-1.09,-5.3393135971883,-5.3393135971883,NA
-1.08,-5.32673554043619,-5.32673554043619,NA
-1.07,-5.31270407879741,-5.31270407879741,NA
-1.06,-5.29757322772563,-5.29757322772563,NA
-1.05,-5.28169376908435,-5.28169376908435,NA
-1.04,-5.26540861435704,-5.26540861435704,NA
-1.03,-5.24904841283568,-5.24904841283568,NA
-1.02,-5.23292746132134,-5.23292746132134,NA
-1.01,-5.21733996707946,-5.21733996707946,NA
-1,-5.20255670784267,-5.20255670784267,NA
-0.99,-5.18882212492633,-5.18882212492633,NA
-0.98,-5.17635187892431,-5.17635187892431,NA
-0.97,-5.16533088991641,-5.16533088991641,NA
-0.96,-5.15591187670412,-5.15591187670412,NA
-0.95,-5.14821440231467,-5.14821440231467,NA
-0.94,-5.14232442274988,-5.14232442274988,NA
-0.93,-5.13829432565309,-5.13829432565309,NA
-0.92,-5.13614343897441,-5.13614343897441,NA
-0.91,-5.13585898389314,-5.13585898389314,NA
-0.9,-5.13739743704527,-5.13739743704527,NA
