time_ext	dF_405	dF_465
6	-0.2282321137545061	2.046206539280624
6.01	-0.2262631949951767	2.048567211220699
6.02	-0.228243728822754	2.046198293100038
6.03	-0.2341553623451895	2.039121516122932
6.04	-0.2439433684909657	2.027402096976391
6.05	-0.257517217344791	2.011148026599314
6.06	-0.2747515314247494	1.990508887368435
6.07	-0.2954874116897163	1.965674210981019
6.08	-0.3195341129577385	1.936871396766135
6.09	-0.346671047276561	1.904363210783639
6.1	-0.376650095806627	1.868444883856965
6.11	-0.409198209530673	1.82944083611852
6.12	-0.4440202700438025	1.787701064544978
6.13	-0.4808021736848764	1.743597236918596
6.14	-0.5192141036507696	1.697518536544415
6.15	-0.5589139575662381	1.649867301325638
6.16	-0.5995508971158326	1.601054500322849
6.17	-0.6407689794847495	1.551495092960168
6.18	-0.6822108245728352	1.501603321259751
6.19	-0.7235212740751177	1.451787990182115
6.2	-0.7643510056827499	1.402447792165173
6.21	-0.804360070715184	1.353966735906205
6.22	-0.8432213175959302	1.306709736629386
6.23	-0.8806236596689695	1.261018422237621
6.24	-0.9162751472795833	1.217207208823271
6.25	-0.9499058112738653	1.175559695844364
6.26	-0.9812702539600151	1.136325433218915
6.27	-1.010149962958639	1.099717107776355
6.28	-1.036355319414074	1.065908191389717
6.29	-1.059727273545142	1.035031084931122
6.3	-1.080138671781676	1.007175792842031
6.31	-1.097495232894974	0.9823891659280997
6.32	-1.111736170877142	0.9606747359875075
6.33	-1.122834452867213	0.9419931499674474
6.34	-1.130796680179495	0.926263204083181
6.35	-1.135662593538983	0.9133634760745584
6.36	-1.13750422047797	0.9031345521751364
6.37	-1.136424686682408	0.8953818373348466
6.38	-1.132556706260949	0.8898789204976404
6.39	-1.126060760673276	0.8863714479013525
6.4	-1.117122983404561	0.8845814605414822
6.41	-1.105952780855757	0.8842121584566166
6.42	-1.09278022487047	0.8849530395999927
6.43	-1.077853251005363	0.8864853405554592
6.44	-1.061434693026695	0.8884877025370154
6.45	-1.043799183404105	0.8906419880420785
6.46	-1.025229957973395	0.8926391682035073
6.47	-1.006015607620753	0.8941851978613111
6.48	-0.986446815803618	0.8950067913501613
6.49	-0.9668131135494966	0.8948570095705928
6.5	-0.9473996821692587	0.8935205709746817
6.51	-0.9284842419039254	0.8908187988011363
6.52	-0.9103340676327488	0.8866141172410616
6.53	-0.8932031693663272	0.8808140212861908
6.54	-0.8773296658108825	0.8733744499353299
6.55	-0.8629333714037655	0.8643024924990725
6.56	-0.8502136197093921	0.8536583639476946
6.57	-0.8393473518565503	0.8415565968944171
6.58	-0.8304874941598391	0.8281664095687157
6.59	-0.8237616358185672	0.8137112237686212
6.6	-0.8192710094470025	0.7984673184486677
6.61	-0.8170897802543616	0.782761611201823
6.62	-0.8172646549314607	0.7669685714003681
6.63	-0.8198148162814374	0.7515062834746075
6.64	-0.8247321779964092	0.7368316969526328
6.65	-0.8319819438362128	0.723435112874896
6.66	-0.8415034563671565	0.7118339651969154
6.67	-0.8532113268381293	0.7025659669472104
6.68	-0.8669968358942037	0.6961817044602626
6.69	-0.8827295853745569	0.693236772127085
6.7	-0.9002593706861928	0.6942835504324442
6.71	-0.9194182420325923	0.6998627437349463
6.72	-0.9400227292909205	0.7104947969339453
6.73	-0.9618762095690316	0.7266713096946011
6.74	-0.9847713898270996	0.7488465704283814
6.75	-1.008492868409522	0.7774293379609428
6.76	-1.032819738578739	0.8127750019920191
6.77	-1.057528203812932	0.855178252617356
6.78	-1.082394180533422	0.9048663792432905
6.79	-1.107195861286052	0.9619933042077639
6.8	-1.131716205907447	1.026634449520214
6.81	-1.155745327008317	1.098782527747233
6.82	-1.179082741940759	1.17834434053236
6.83	-1.201539471234023	1.265138661292722
6.84	-1.222939966905266	1.358895258763265
6.85	-1.243123850972292	1.459255097278327
6.86	-1.261947442646043	1.565771732371173
6.87	-1.279285055842377	1.677913906063057
6.88	-1.295030059462348	1.79506933182891
6.89	-1.309095699331272	1.916549636124937
6.9	-1.321415678029128	2.0415964080926
6.91	-1.331944484174306	2.169388295118644
6.92	-1.340657466423308	2.29904906311541
6.93	-1.347550659347064	2.429656522814603
