"Time(s)","AIn-2 - Demodulated(Lock-In)","AOut-2","AIn-3","AIn-1 - Demodulated(Lock-In)","AOut-1"
0,1.52868714622951,1,4.77598038180328,0.980257025844262,1
0.01,1.53016304565574,1,4.77251578040984,0.977818046713115,1
0.02,1.53039318557377,1,4.77237444483607,0.975644228286885,1
0.03,1.52988787606557,1,4.77274591991803,0.975341544803279,1
0.04,1.52929251418033,1,4.77174906598361,0.975814331401639,1
0.05,1.52931752918033,1,4.77280970836066,0.975263997729508,1
0.06,1.53015804139344,1,4.77272465672131,0.973633008254098,1
0.07,1.53161142401639,1,4.77289726139344,0.972584872737705,1
0.08,1.5327821345082,1,4.77208551959016,0.973092680565574,1
0.09,1.53297475155738,1,4.77237319352459,0.973345333754098,1
0.1,1.53217546454545,1,4.77274934140496,0.970866929991736,1
0.11,1.53056578934426,1,4.77256706172131,0.966195997795082,1
0.12,1.52853205221311,1,4.7727058954918,0.96278893152459,1
0.13,1.52684352934426,1,4.77236819139344,0.963141645352459,1
0.14,1.52616561786885,1,4.77235568377049,0.965252926114754,1
0.15,1.52619813737705,1,4.77207301204918,0.965260430590164,1
0.16,1.52633572172131,1,4.77260708557377,0.962368676540984,1
0.17,1.52647580672131,1,4.77263585295082,0.959526953163934,1
0.18,1.52648831336066,1,4.77240071114754,0.959724572959016,1
0.19,1.52653834360656,1,4.77253329106557,0.962063491483607,1
0.2,1.52607556336066,1,4.7723581852459,0.963431821254098,1
0.21,1.52565055380165,1,4.77259044338843,0.962415068396694,1
0.22,1.52550271590164,1,4.77195669213115,0.960329939991803,1
0.23,1.52548270393443,1,4.77236318852459,0.959344342467213,1
0.24,1.52556025114754,1,4.77258457221311,0.959334336401639,1
0.25,1.52557776147541,1,4.77266587131148,0.958173632377049,1
0.26,1.52614060352459,1,4.77234567803279,0.955366930188525,1
0.27,1.52736134262295,1,4.77266962418033,0.953255649565574,1
0.28,1.52867463852459,1,4.77251202852459,0.954158697262295,1
0.29,1.52948763254098,1,4.77234192565574,0.956947888893443,1
0.3,1.52892979377049,1,4.77248451147541,0.957743371196721,1
0.31,1.52677797272727,1,4.77256396,0.954805618586777,1
0.32,1.52335891622951,1,4.77277218590164,0.950248825983607,1
0.33,1.51977924622951,1,4.7722681302459,0.94750966452459,1
0.34,1.5169400257377,1,4.77240321262295,0.947384588598361,1
0.35,1.51530153180328,1,4.77249076532787,0.947702281286885,1
0.36,1.51482624377049,1,4.77226062581967,0.946496550163934,1
0.37,1.51522398557377,1,4.77268213122951,0.94429021195082,1
0.38,1.51613203647541,1,4.77278344270492,0.94325458402459,1
0.39,1.51678493229508,1,4.77258082008197,0.943957510139344,1
0.4,1.51634966811475,1,4.77195794278689,0.944247686032787,1
0.41,1.51517145360656,1,4.77263710409836,0.942216454286885,1
0.42,1.51372059247934,1,4.77221085396694,0.938835105917355,1
0.43,1.512757485,1,4.77212304196721,0.937288465426229,1
0.44,1.51236975032787,1,4.7727771895082,0.93932970347541,1
0.45,1.51239726688525,1,4.77246950204918,0.942576672803279,1
0.46,1.51289256663934,1,4.77253954483607,0.943584784188525,1
0.47,1.51389067491803,1,4.77218558016393,0.941683631040984,1
0.48,1.51551416180328,1,4.77245949622951,0.939732447893443,1
0.49,1.51707510770492,1,4.77239445663934,0.940607978721312,1
0.5,1.51824831893443,1,4.77237194303279,0.943549762909836,1
0.51,1.51910633836066,1,4.77228564122951,0.945400885655738,1
0.52,1.51943083297521,1,4.7720179068595,0.944981684950413,1
0.53,1.51930395918033,1,4.77241947204918,0.944332737590164,1
0.54,1.5188186647541,1,4.77209052229508,0.94580362992623,1
0.55,1.51812074155738,1,4.77259582942623,0.948552797270492,1
0.56,1.51703508393443,1,4.77197170114754,0.949650963442623,1
0.57,1.5157843254918,1,4.77251953278689,0.948200083319672,1
0.58,1.51502886778689,1,4.77216056557377,0.946378978983607,1
0.59,1.5150238645082,1,4.77221935106557,0.946861771663934,1
0.6,1.51554918311475,1,4.77215306032787,0.94906560847541,1
0.61,1.51578432459016,1,4.77210928401639,0.950146263688525,1
0.62,1.51509640754098,1,4.7723744447541,0.948347672942623,1
0.63,1.5134053185124,1,4.77212005504132,0.944885841884298,1
0.64,1.51102143229508,1,4.77228439008197,0.942406569672131,1
0.65,1.50891015270492,1,4.77220309098361,0.941743667508197,1
0.66,1.50748428836066,1,4.77239695885246,0.94146099595082,1
0.67,1.50656623204918,1,4.77223060770492,0.939990104008197,1
0.68,1.50565067655738,1,4.77233442040984,0.938031415901639,1
0.69,1.50444494598361,1,4.77233942368852,0.937606158016393,1
0.7,1.50304159581967,1,4.77196669778689,0.938841907606557,1
0.71,1.50139809918033,1,4.77231190631148,0.939234645934426,1
0.72,1.49977461467213,1,4.77206675827869,0.936860706008197,1
0.73,1.49812336578512,1,4.7726484538843,0.93327871946281,1
0.74,1.4966552195082,1,4.77203799098361,0.931702577360656,1
0.75,1.49519433401639,1,4.77223686081967,0.933080913573771,1
0.76,1.49358335704918,1,4.77220309065574,0.934564313090164,1
0.77,1.49212997655738,1,4.77216306663934,0.933603730672131,1
0.78,1.49030386918033,1,4.77220184073771,0.930929608860656,1
0.79,1.48819509065574,1,4.77215431139344,0.929286112081967,1
0.8,1.48646404114754,1,4.77227313352459,0.929974029360656,1
0.81,1.48524330106557,1,4.77212804516393,0.930784520803279,1
0.82,1.48501066057377,1,4.7721180395082,0.929361157557377,1
0.83,1.48580614286885,1,4.77226187704918,0.92629179595082,1
0.84,1.4872829885124,1,4.77235966305785,0.924365296958678,1
0.85,1.48839020934426,1,4.77237944754098,0.925143599557377,1
0.86,1.48823011213115,1,4.77208301852459,0.926819616254098,1
0.87,1.48700436934426,1,4.77231440852459,0.926519434155738,1
0.88,1.48520327762295,1,4.77202798418033,0.923645190803279,1
0.89,1.48350474795082,1,4.77223686155738,0.920663382434426,1
0.9,1.48231902901639,1,4.77204299401639,0.920193097319672,1
0.91,1.4818012147541,1,4.77251703147541,0.92173653307377,1
0.92,1.4818512445082,1,4.77221935090164,0.922389429098361,1
0.93,1.48216393459016,1,4.77208551934426,0.920695902172131,1
0.94,1.48194351239669,1,4.7722915638843,0.918743333371901,1
0.95,1.48118583803279,1,4.77215306040984,0.919132453803279,1
0.96,1.48029279467213,1,4.77215931442623,0.921368810098361,1
0.97,1.4798375192623,1,4.77200296959016,0.922314383516393,1
0.98,1.47965240704918,1,4.77222935672131,0.920450753459016,1
0.99,1.47921714311475,1,4.77217932622951,0.917716595139344,1
1,1.47822404114754,1,4.77221809991803,0.916998659885246,1
1.01,1.4771583954918,1,4.77258582327869,0.918104330204918,1
1.02,1.47597017467213,1,4.77201547754098,0.918299448483607,1
1.03,1.47455431696721,1,4.77256330918033,0.915665351040984,1
1.04,1.47280075442623,1,4.77254329762295,0.912030646622951,1
1.05,1.4709265807438,1,4.77262953752066,0.910505858355372,1
1.06,1.46936116860656,1,4.77197920573771,0.911808011516393,1
1.07,1.46793780598361,1,4.77243573172131,0.913659134393443,1
1.08,1.46687716270492,1,4.77262334565574,0.913971824122951,1
1.09,1.46617173557377,1,4.77267712827869,0.912736074418033,1
1.1,1.46569394598361,1,4.7722668797541,0.912125704032787,1
1.11,1.46559888795082,1,4.77207551368852,0.913108800598361,1
1.12,1.46589656852459,1,4.77267462663934,0.914334544,1
1.13,1.46670205729508,1,4.77248326081967,0.91396682097541,1
1.14,1.46773268172131,1,4.77245199188525,0.91217323302459,1
1.15,1.46857589942149,1,4.77197502884298,0.911154061305785,1
1.16,1.46905098098361,1,4.77246825163934,0.912295807385246,1
1.17,1.4686207195082,1,4.77248201,0.913889274008197,1
1.18,1.4672198704918,1,4.77261584114754,0.913326432598361,1
1.19,1.46573897286885,1,4.77261208901639,0.910479705909836,1
1.2,1.46508857573771,1,4.77211678852459,0.908265863229508,1
1.21,1.46609669016393,1,4.77267212532787,0.909063847147541,1
1.22,1.46840809032787,1,4.77174031073771,0.911730464483607,1
1.23,1.47115475614754,1,4.77245824532787,0.913188849196721,1
1.24,1.4730834247541,1,4.77268213122951,0.912503433286885,1
1.25,1.47337109893443,1,4.77272840942623,0.911665425008197,1
1.26,1.47215740909091,1,4.77238488479339,0.912773307694215,1
1.27,1.47028672942623,1,4.7722268557377,0.914729783590164,1
1.28,1.46876080434426,1,4.77278594426229,0.91509000195082,1
1.29,1.46797783040984,1,4.77231190704918,0.913376462918033,1
1.3,1.46776019811475,1,4.77234442680328,0.911635406811475,1
1.31,1.46771266918033,1,4.772011725,0.911933087336066,1
1.32,1.46742999844262,1,4.77239320663934,0.913428994811475,1
1.33,1.46676209344262,1,4.77241947221312,0.913654131360656,1
1.34,1.46545630016393,1,4.77229689819672,0.911537847696721,1
1.35,1.46371774344262,1,4.77256205885246,0.909091363729508,1
1.36,1.46215929745902,1,4.77255455401639,0.908931266614754,1
1.37,1.46133216479339,1,4.77248325049587,0.910720244454545,1
1.38,1.46119121065574,1,4.77199046213115,0.911865546319672,1
1.39,1.46142135106557,1,4.77242572598361,0.910922474598361,1
1.4,1.46169151442623,1,4.7720880207377,0.90921143654918,1
1.41,1.46159645696721,1,4.77251953270492,0.909241454770492,1
1.42,1.46112867311475,1,4.77268838467213,0.911042547393443,1
1.43,1.4600930452459,1,4.77201797909836,0.912023141860656,1
1.44,1.45833698090164,1,4.77284097762295,0.910424672557377,1
1.45,1.45637829377049,1,4.77225061983607,0.907540423409836,1
1.46,1.45448714729508,1,4.77264961180328,0.906469773901639,1
1.47,1.45292822735537,1,4.77260431578512,0.907988711710744,1
1.48,1.45171796852459,1,4.77274216778688,0.909499111090164,1
1.49,1.45106507336066,1,4.77265211336066,0.908193319180328,1
1.5,1.45115012385246,1,4.77256581032787,0.90439351457377,1
1.51,1.45167544262295,1,4.77238695262295,0.901239101573771,1
1.52,1.45241839377049,1,4.7720767647541,0.900871378639344,1
1.53,1.45283114262295,1,4.77244573778689,0.902122136967213,1
1.54,1.45298373622951,1,4.77208802147541,0.902452337131148,1
1.55,1.45314883606557,1,4.77212554352459,0.901171560639344,1
1.56,1.45312382090164,1,4.77212179155738,0.900080899081967,1
1.57,1.45318385696721,1,4.7724394842623,0.900751305762295,1
1.58,1.45330907768595,1,4.77228904198347,0.902258293884298,1
1.59,1.45336646795082,1,4.77209927786885,0.902825063172131,1
1.6,1.45369666795082,1,4.7723406745082,0.902317255245902,1
1.61,1.45418696598361,1,4.7722168495082,0.902514875131148,1
1.62,1.4549524297541,1,4.77223185836066,0.904868802918033,1
1.63,1.4558604807377,1,4.77209927795082,0.907715529516393,1
1.64,1.45671599737705,1,4.77245824581967,0.908741151344262,1
1.65,1.4570812202459,1,4.7721943352459,0.907277764057377,1
1.66,1.45691611934426,1,4.77233692254098,0.905516695713115,1
1.67,1.45697115295082,1,4.77229939934426,0.906317181270492,1
1.68,1.45814916057851,1,4.77217302115703,0.909466715504132,1
1.69,1.46111616647541,1,4.7723907045082,0.912530949967213,1
1.7,1.46539125983607,1,4.77216431713115,0.913526554040984,1
1.71,1.46932364581967,1,4.77239320581967,0.91365663295082,1
1.72,1.47194523532787,1,4.77204799680328,0.915387682598361,1
1.73,1.47280075393443,1,4.77219558655738,0.918422022901639,1
1.74,1.47283577508197,1,4.77210303008197,0.91980035904918,1
1.75,1.47273321262295,1,4.77249827016393,0.917556498008197,1
1.76,1.47282326713115,1,4.77228814262295,0.913779207172131,1
1.77,1.4731834854918,1,4.77212179122951,0.912510937754098,1
1.78,1.47324602377049,1,4.77232691631148,0.914889880672131,1
1.79,1.47280813396694,1,4.7720645668595,0.918077475115702,1
1.8,1.47181015336066,1,4.77240321254098,0.919017383909836,1
1.81,1.47074700885246,1,4.77209052254098,0.918014275614754,1
1.82,1.47026671795082,1,4.77242947811475,0.91793172557377,1
1.83,1.47047184278689,1,4.77228063819672,0.919720310434426,1
1.84,1.47119477942623,1,4.77203298786885,0.921186199401639,1
1.85,1.47199026278689,1,4.77246449959016,0.920065519836066,1
1.86,1.47297335786885,1,4.77216306639344,0.917068702188525,1
1.87,1.47405151196721,1,4.77261709237705,0.915377676336066,1
1.88,1.47505211860656,1,4.77215055893443,0.916741003418033,1
1.89,1.47564812107438,1,4.77221211545455,0.919257860471074,1
1.9,1.47545486295082,1,4.77208301852459,0.919915428885246,1
1.91,1.47478945901639,1,4.77226813016393,0.918194384860656,1
1.92,1.47430166286885,1,4.77232441442623,0.916873583983607,1
1.93,1.47429916262295,1,4.7722506197541,0.917941731688525,1
1.94,1.47481197401639,1,4.77237944778688,0.920173085065574,1
1.95,1.4751521795082,1,4.77228689114754,0.921028603868852,1
1.96,1.47512466213115,1,4.77239445680328,0.919782848352459,1
1.97,1.47480446942623,1,4.77221184655738,0.918311956114754,1
1.98,1.4742291195082,1,4.77268463286885,0.918484560778689,1
1.99,1.47370380139344,1,4.77222185254098,0.919455149590164,1
2,1.47368333421488,1,4.77240758487603,0.919116617702479,1
2.01,1.47383387991803,1,4.77245324245902,0.916553389598361,1
2.02,1.47385389245902,1,4.77222060180328,0.913731678385246,1
2.03,1.4738663997541,1,4.77279469934426,0.913048764114754,1
2.04,1.47368128770492,1,4.7719366795082,0.914352054590164,1
2.05,1.47375633303279,1,4.77256956311475,0.915425205147541,1
2.06,1.47397396434426,1,4.77224561639344,0.914579692606557,1
2.07,1.47383388040984,1,4.77274717122951,0.912768594122951,1
2.08,1.4733786047541,1,4.77266462090164,0.912015637303279,1
2.09,1.47222040188525,1,4.77274341844262,0.912788606262295,1
2.1,1.47055329603306,1,4.77242271818182,0.913381155933884,1
2.11,1.46854817598361,1,4.77263585377049,0.91237585597541,1
2.12,1.4667070592623,1,4.77259082614754,0.910039438877049,1
2.13,1.46536624606557,1,4.77220934483607,0.908015711590164,1
2.14,1.46473836229508,1,4.77250077122951,0.907397837008197,1
2.15,1.46533372508197,1,4.7725883247541,0.907240241393443,1
2.16,1.46708478868852,1,4.77273591360656,0.905949458270492,1
2.17,1.46972388893443,1,4.7727546752459,0.90426593742623,1
2.18,1.47269068696721,1,4.77219808803279,0.904548608786885,1
2.19,1.47524723663934,1,4.77259582901639,0.907360314032787,1
2.2,1.4770083042623,1,4.77280220401639,0.909894350909836,1
2.21,1.47772892719008,1,4.77277582454545,0.909502026049587,1
2.22,1.47777877114754,1,4.77227688631148,0.906987588081967,1
2.23,1.47741605139344,1,4.77276968459016,0.905711814,1
2.24,1.47651800672131,1,4.77246575032787,0.907072639606557,1
2.25,1.47567749827869,1,4.7725895752459,0.908778674090164,1
2.26,1.47548237934426,1,4.77265836721311,0.908260860196721,1
2.27,1.47629286983607,1,4.77269463893443,0.905899427942623,1
2.28,1.47759365918033,1,4.77251953352459,0.904506083090164,1
2.29,1.47862178254098,1,4.77264460860656,0.905359100213115,1
2.3,1.47946229196721,1,4.77292227721312,0.906719925704918,1
2.31,1.48028894933884,1,4.77259044363636,0.906288755,1
2.32,1.48130340991803,1,4.77267837901639,0.903920727901639,1
2.33,1.48239157254098,1,4.77241572008197,0.902019574795082,1
2.34,1.48314452934426,1,4.77241196737705,0.902592422163934,1
2.35,1.48329712188525,1,4.77267712836066,0.904671183106557,1
2.36,1.48253916262295,1,4.77198170713115,0.905436647188525,1
2.37,1.48080810844262,1,4.77272590737705,0.903610539786885,1
2.38,1.47877437532787,1,4.77218933278689,0.901043983213115,1
2.39,1.47751361016393,1,4.77259582885246,0.900205974967213,1
2.4,1.47717840762295,1,4.77268963647541,0.901003959,1
2.41,1.47748359237705,1,4.77264961180328,0.901369180532787,1
2.42,1.47802402272727,1,4.77247442305785,0.89983699077686,1
2.43,1.47827907434426,1,4.77233567163934,0.898114706647541,1
2.44,1.4779964045082,1,4.77266337,0.898339843180328,1
2.45,1.47702831721311,1,4.7722181002459,0.900228488631148,1
2.46,1.47581758286885,1,4.77278469336066,0.901311645631148,1
2.47,1.47493204606557,1,4.77261959286885,0.899950820139344,1
2.48,1.47450428663934,1,4.77272715844262,0.897902077696721,1
2.49,1.47474193008197,1,4.7725070252459,0.897979624729508,1
2.5,1.47541733885246,1,4.77236694,0.900708779885246,1
2.51,1.47624534245902,1,4.77260333344262,0.90330285304918,1
2.52,1.47620781918033,1,4.7720530002459,0.903045196811475,1
2.53,1.47468464363636,1,4.77258539900826,0.900119476181818,1
2.54,1.47218538090164,1,4.77213805114754,0.897616904696721,1
2.55,1.46949374959016,1,4.77249201598361,0.897279199868852,1
2.56,1.46746251827869,1,4.77210303057377,0.897694451778689,1
2.57,1.46594659893443,1,4.77250327286885,0.8964361885,1
2.58,1.46469333442623,1,4.77215681278689,0.893687021122951,1
2.59,1.46392787090164,1,4.77226687959016,0.892228636631148,1
2.6,1.46384531967213,1,4.77239195557377,0.893189219090164,1
2.61,1.46444818491803,1,4.77231440860656,0.894587567581967,1
2.62,1.46471584836066,1,4.77245699467213,0.893769571327869,1
2.63,1.46433609297521,1,4.77217680471074,0.891195965,1
2.64,1.46365020188525,1,4.7723169095082,0.889511988885246,1
2.65,1.463259965,1,4.77230690401639,0.890440051918033,1
2.66,1.46369022590164,1,4.77258332114754,0.892751453631147,1
2.67,1.46448070606557,1,4.7723919552459,0.893631987754098,1
2.68,1.46521865590164,1,4.77199421418033,0.892141083516393,1
2.69,1.46570645270492,1,4.77262959934426,0.890317477508197,1
2.7,1.46575648401639,1,4.77224561688525,0.890392523106557,1
2.71,1.46538125377049,1,4.77245574491803,0.892206122983607,1
2.72,1.46450572131148,1,4.77227938754098,0.893059140163934,1
2.73,1.46357515663934,1,4.77243072926229,0.891525710442623,1
2.74,1.46286565652893,1,4.77221337578512,0.889198389719008,1
2.75,1.46247198713115,1,4.7725483,0.888761533909836,1
2.76,1.4621042645082,1,4.77226938114754,0.890495085377049,1
2.77,1.46177406483607,1,4.77228439016393,0.891833397040984,1
2.78,1.46140133885246,1,4.77239320631148,0.89059514604918,1
2.79,1.46090603918033,1,4.77224561663934,0.887973555991803,1
2.8,1.46042324639344,1,4.77239445713115,0.88705049595082,1
2.81,1.45977785540984,1,4.77212679508197,0.888646464131148,1
2.82,1.45895485590164,1,4.77233442040984,0.89052510354918,1
2.83,1.45844454590164,1,4.77228564114754,0.890422541401639,1
2.84,1.4585375785124,1,4.77191323586777,0.888822583322314,1
2.85,1.45943514704918,1,4.77258332098361,0.887683380106557,1
2.86,1.46081098098361,1,4.77230565344262,0.888211200254098,1
2.87,1.46239944352459,1,4.77248075942623,0.889354393295082,1
2.88,1.46398040172131,1,4.77217057147541,0.889421934262295,1
2.89,1.46526368311475,1,4.77270089278688,0.888643962639344,1
2.9,1.4665594704918,1,4.77216431762295,0.888916627926229,1
2.91,1.46807789065574,1,4.77265211352459,0.891198011655738,1
2.92,1.469866475,1,4.77222310278689,0.893376832942623,1
