"","seconds","X1","X2","X3","average","SE"
"1",-2,1.69995075709744,-1.8521307510246,0.888153864581177,0.245324623551337,1.07459183490413
"2",-1.99,1.76412056647991,-1.83198867150375,0.990601741795714,0.307577878923956,1.0928390565887
"3",-1.98,1.81808535459962,-1.81156548988116,1.08882164232606,0.36511383568151,1.10851342726174
"4",-1.97,1.86141451183327,-1.79102074234695,1.18180356390176,0.41739911112936,1.12150292718571
"5",-1.96,1.89377594914382,-1.77050479484977,1.26854748214971,0.463939545481254,1.13170723415451
"6",-1.95,1.91494209020659,-1.7501567427844,1.3480772865828,0.504287544668329,1.13903807520762
"7",-1.94,1.92479463855457,-1.73010246957658,1.41945465107919,0.538048940019064,1.14341961361136
"8",-1.93,1.92332802591328,-1.71045288383129,1.48179263300078,0.564889258360923,1.14478888502429
"9",-1.92,1.91065146528648,-1.69130235949879,1.53426879730772,0.584539301031805,1.14309629603746
"10",-1.91,1.88698954583481,-1.67272740218983,1.57613767075676,0.596799938133915,1.13830619539408
"11",-1.9,1.8526813286596,-1.65478555529767,1.60674233800056,0.601546037120833,1.13039752417619
"12",-1.89,1.80817793064547,-1.63751455434038,1.62552499697214,0.598729457759075,1.1193645496118
"13",-1.88,1.75403860531165,-1.62093174001072,1.63203630509677,0.588381056799233,1.10521768835006
"14",-1.87,1.69092534725099,-1.60503373765502,1.62594337139677,0.570611660330912,1.08798442660875
"15",-1.86,1.61959607004961,-1.58979640561542,1.60703627021821,0.545611978217464,1.0677103479644
"16",-1.85,1.54089643171093,-1.57517504991008,1.57523296907403,0.513651450291628,1.0444602849332
"17",-1.84,1.45575039719193,-1.56110490150877,1.5305825818213,0.475076025834819,1.01831961921302
"18",-1.83,1.36514964846328,-1.54750185081311,1.47326688077347,0.430304892807879,0.989395770207775
"19",-1.82,1.27014197167588,-1.53426342234375,1.40360002921909,0.379826192850404,0.957819929932271
"20",-1.81,1.17181877042131,-1.52126997046944,1.32202652114102,0.324191773697629,0.923749132427592
"21",-1.8,1.07130187094134,-1.50838608434215,1.22911733954412,0.264011042047769,0.887368790443411
"22",-1.79,0.96972979623085,-1.49546218527514,1.12556437314659,0.19994399470077,0.848895888819903
"23",-1.78,0.868243692048225,-1.48233629365529,1.01217316036318,0.132693519585371,0.808583101522758
"24",-1.77,0.767973094117223,-1.46883593965501,0.889854054900526,0.0629970697875804,0.766724204818529
"25",-1.76,0.670021738254611,-1.45478018969605,0.75961192560864,-0.00838217527759807,0.723661295658577
"26",-1.75,0.575453616841605,-1.43998176338946,0.622534519322782,-0.0806645424083585,0.679794486906755
"27",-1.74,0.48527947745734,-1.42424921788617,0.479779634689245,-0.153063368579863,0.635594907593161
"28",-1.73,0.400443952622276,-1.40738917560485,0.332561276912605,-0.224794648689988,0.591621888183128
"29",-1.72,0.321813506747363,-1.38920857094903,0.182134981937123,-0.29508669408818,0.548544903553154
"30",-1.71,0.250165385192379,-1.36951689212214,0.0297825104623122,-0.363189665489151,0.507169602850207
"31",-1.7,0.186177736475586,-1.34812838989561,-0.123203876576528,-0.428384843332183,0.468463939988085
"32",-1.69,0.130421057240703,-1.32486422546338,-0.275537342272599,-0.489993503498425,0.433573291508892
"33",-1.68,0.0833510864973842,-1.29955453629445,-0.425952378964552,-0.547385276253873,0.403801292632642
"34",-1.67,0.0453032571986675,-1.27204040081401,-0.573220474981363,-0.59998587286557,0.38051976217602
"35",-1.66,0.0164887969752194,-1.24217568462074,-0.716165329755469,-0.647284072466996,0.364973761619487
"36",-1.65,-0.00300745576205986,-1.20982875357045,-0.853677407900934,-0.688837872411147,0.357996026773272
"37",-1.64,-0.0132274792774887,-1.17488404125166,-0.984727626449796,-0.724279715659646,0.359738945936552
"38",-1.63,-0.014338723661422,-1.13724346296952,-1.10837998370414,-0.753320723445026,0.369584934808386
"39",-1.62,-0.0066310022324892,-1.09682767075806,-1.22380295311007,-0.775753875366871,0.386304360172977
"40",-1.61,0.00948834976489679,-1.05357714495189,-1.33027948314707,-0.79145609277802,0.408360562093908
"41",-1.6,0.0335009857419184,-1.00745311540526,-1.42721546365583,-0.800389197773057,0.434196474680217
"42",-1.59,0.0647856366722886,-0.958438308446166,-1.51414653950509,-0.802599737092987,0.462410693894185
"43",-1.58,0.102627669709103,-0.906537522297261,-1.59074317663526,-0.798217676407807,0.491825205255009
"44",-1.57,0.146229989371687,-0.851778035769567,-1.65681391094887,-0.787453985782249,0.521486661438835
"45",-1.56,0.194725130198776,-0.794209856019597,-1.71230673677024,-0.770597154197022,0.550639266421117
"46",-1.55,0.247188367768066,-0.733905808057526,-1.75730861689981,-0.748008685729756,0.578691399842388
"47",-1.54,0.302651658148597,-0.670961472381386,-1.79204312360211,-0.720117645944966,0.605185592531461
"48",-1.53,0.360118205274366,-0.605494980132179,-1.81686624459166,-0.687414339816489,0.62977467130658
"49",-1.52,0.4185774472107,-0.537646672682644,-1.83226041402397,-0.650443213165303,0.652203972197477
"50",-1.51,0.477020239548479,-0.467578633174659,-1.83882685600634,-0.609795083210842,0.672298564997502
"51",-1.5,0.534454009365114,-0.395474100361647,-1.83727634928739,-0.566098813427974,0.689954302368451
"52",-1.49,0.589917659820115,-0.321536774069541,-1.82841854503931,-0.520012553096245,0.705131660537866
"53",-1.48,0.64249601014271,-0.245990017901779,-1.81314998684377,-0.472214664867614,0.717851541940729
"54",-1.47,0.69133355653369,-0.169075964376598,-1.79244100049506,-0.423394469445989,0.728192382787998
"55",-1.46,0.735647347839081,-0.0910545259647992,-1.76732164026152,-0.374242939462412,0.736288031729161
