"","seconds","X1","X2","X3","X4","X5","X6","X7","X8","X9","average","SE"
"1",-2,-4.46900981377701,-5.55794274029193,-4.21688714311165,-3.96088323131868,-4.8944658752464,-2.34043433893616,-6.02898736930093,-6.57300410508511,-5.90916127259172,-4.88341954329551,0.434743205753133
"2",-1.99,-4.48579975252844,-5.62582527544882,-4.22750135576121,-4.02506745962642,-4.88130640827866,-2.27967201558429,-6.04658915779909,-6.5912064025605,-5.98529435692621,-4.90536246494596,0.443080513410628
"3",-1.98,-4.50576392027605,-5.69777718181424,-4.23923532218401,-4.08828112246756,-4.87024440946077,-2.2300269794677,-6.06270442682735,-6.6067411590187,-6.05481048761895,-4.92839833434837,0.45043474958048
"4",-1.97,-4.52917080988824,-5.77309777360822,-4.25190388155826,-4.15028432193088,-4.86144964305943,-2.19202256764629,-6.07724174816885,-6.61918455599009,-6.11759914251664,-4.95243938270743,0.456676344706949
"5",-1.96,-4.55624705548535,-5.85105551694382,-4.26532864451042,-4.21086256788136,-4.85506952363907,-2.16607792414207,-6.09011107359985,-6.62814780477448,-6.17364810202486,-4.97739424588903,0.461697792938976
"6",-1.95,-4.5871733895849,-5.93089668384198,-4.2793399137848,-4.26982779891049,-4.85122756991644,-2.15250732563419,-6.10122441452534,-6.63328464665327,-6.2230427322006,-5.00316938611689,0.465413521083608
"7",-1.94,-4.62208120274635,-6.0118542008689,-4.29377825116899,-4.32701912292261,-4.85002223605164,-2.15152061987822,-6.11049659364946,-6.63429814222499,-6.26596374197339,-5.02967045683162,0.467759529021744
"8",-1.93,-4.66104975896285,-6.09315657811641,-4.30849568915049,-4.38230326977944,-4.85152612942901,-2.16322471577845,-6.11784605935173,-6.63094665699439,-6.30268345104485,-5.05680358984529,0.468692858586238
"9",-1.92,-4.70410411554251,-6.17403680983551,-4.32335659086266,-4.43557474743744,-4.85578561509666,-2.18762605651439,-6.12319575038258,-6.62304896303147,-6.33356062826007,-5.08447658632925,0.468190931754233
"10",-1.91,-4.75121378202734,-6.25374114323336,-4.3382381721175,-4.48675569746634,-4.86282080134352,-2.22463400161051,-6.12647400312311,-6.6104883868276,-6.35903397836067,-5.11259999623444,0.466250788959194
"11",-1.9,-4.80229213543197,-6.33153760748783,-4.35303070736779,-4.53579545090323,-4.87262589184721,-2.2740650319558,-6.12761550059639,-6.59321594378375,-6.37961437661027,-5.14108807177603,0.462888253481393
"12",-1.89,-4.85719660408922,-6.40672419229027,-4.36763744754384,-4.58266978875649,-4.88516988207916,-2.33564768301833,-6.12656225786882,-6.5712524217531,-6.39587597156491,-5.16985958321824,0.458137046008421
"13",-1.88,-4.91572962349181,-6.47863657393182,-4.38197428564512,-4.62737991360537,-4.90039757220965,-2.40902810677672,-6.12326462820513,-6.54468939879092,-6.40844629743342,-5.19883848889888,0.452047873510533
"14",-1.87,-4.97764035209538,-6.54665529683874,-4.39596920838371,-4.66995113931993,-4.91823086598375,-2.49377615672338,-6.11768231620314,-6.51368919102562,-6.41799555432871,-5.2279544534336,0.44468751787931
"15",-1.86,-5.04262712381181,-6.61021232766434,-4.40956156793839,-4.71043131134594,-4.93857032743379,-2.58939189645526,-6.10978539124181,-6.47848374229599,-6.42522522795226,-5.2571432129044,0.436137950695453
"16",-1.85,-5.11034059980451,-6.66879690867374,-4.42270121238654,-4.74888897334585,-4.96129696544987,-2.69531243393248,-6.0995552896139,-6.43937247979192,-6.43085623345517,-5.28634678849489,0.426495501020085
"17",-1.84,-5.18038757144755,-6.72196063837147,-4.43534751911079,-4.78541130083809,-4.98627420508122,-2.81091897539019,-6.08698579035552,-6.39671917095413,-6.43561676941132,-5.31551354899559,0.415870102631738
"18",-1.83,-5.25233536434405,-6.76932172032173,-4.44746837604309,-4.82010182696325,-5.01334999365141,-2.93554399516083,-6.07208394978015,-6.35094783297701,-6.44023007398063,-5.34459812591357,0.404384644755903
"19",-1.82,-5.32571678390852,-6.81056833938644,-4.45903915078669,-4.85307799025435,-5.04235898957733,-3.06847842941659,-6.05487097587493,-6.30253775890139,-6.44540227887882,-5.3735611885539,0.392174443831647
"20",-1.81,-5.40003553106424,-6.84546112743765,-4.47004168231561,-4.88446853629032,-5.07312479186626,-3.2089788098629,-6.03538302682435,-6.2520177335536,-6.45181055209363,-5.40236908792317,0.379386841304979
"21",-1.8,-5.47477200754522,-6.87383469350753,-4.48046332483371,-4.9144108023646,-5.10546217300749,-3.35627426158048,-6.01367191854109,-6.19995952046229,-6.46009171243168,-5.43099337936379,0.366180911929202
