"time_ext","dF_405","dF_465","freeze","freeze_cut"
6,2.98739766187129,-3.94552819629282,0,0
6.01,2.98674376551165,-3.93854892235475,0,0
6.02,2.98744105774935,-3.94580011029922,0,0
6.03,2.9894807174481,-3.9671912271734,0,0
6.04,2.99283723206124,-4.0024564456034,0,0
6.05,2.99746882441924,-4.05115850539638,0,0
6.06,3.0033181519506,-4.11269505289007,0,0
6.07,3.01031326281657,-4.18630735346386,0,0
6.08,3.0183687901381,-4.2710912444085,0,0
6.09,3.02738736260994,-4.36601017004716,0,0
6.1,3.03726120754878,-4.46991010789127,0,0
6.11,3.04787391958912,-4.58153615652375,0,0
6.12,3.05910236197459,-4.69955052569517,0,0
6.13,3.0708186637773,-4.82255165269289,0,0
6.14,3.0828922755414,-4.94909415682589,0,0
6.15,3.09519204908109,-5.07770933207579,0,0
6.16,3.10758830644539,-5.20692586565194,0,0
6.17,3.11995485843376,-5.33529046875694,0,0
6.18,3.13217093373995,-5.46138811437773,0,0
6.19,3.14412298418594,-5.58386157911106,0,0
6.2,3.15570633704458,-5.70142999035307,0,0
6.21,3.16682666823752,-5.81290610018968,0,0
6.22,3.17740126956808,-5.91721203403176,0,0
6.23,3.1873600842944,-6.01339328541427,0,0
6.24,3.19664649104502,-6.10063075264139,0,0
6.25,3.2052178250335,-6.17825064063493,0,0
6.26,3.21304563343656,-6.24573208465981,0,0
6.27,3.22011566408572,-6.30271239216996,0,0
6.28,3.22642758786989,-6.34898983568223,0,0
6.29,3.2319944599537,-6.3845239664806,0,0
6.3,3.23684193206759,-6.40943345922245,0,0
6.31,3.24100723312101,-6.42399153636414,0,0
6.32,3.2445379369092,-6.428619055142,0,0
6.33,3.24749054153699,-6.42387537639367,0,0
6.34,3.24992888968133,-6.41044717069661,0,0
6.35,3.25192246180686,-6.38913534722044,0,0
6.36,3.25354457983451,-6.36084031694409,0,0
6.37,3.25487055744625,-6.326545827058,0,0
6.38,3.25597583104697,-6.28730163013696,0,0
6.39,3.25693410576914,-6.24420526446309,0,0
6.4,3.2578155510258,-6.19838323648225,0,0
6.41,3.25868508270144,-6.15097190752399,0,0
6.42,3.25960076839301,-6.10309838703119,0,0
6.43,3.26061238775192,-6.05586173506528,0,0
6.44,3.26176017565707,-6.01031476624381,0,0
6.45,3.26307377325699,-5.96744673500892,0,0
6.46,3.26457140866809,-5.92816717035685,0,0
6.47,3.26625932456626,-5.89329111046551,0,0
6.48,3.26813146555847,-5.86352596752046,0,0
6.49,3.27016943098801,-5.83946022413691,0,0
6.5,3.27234269400541,-5.8215541262832,0,0
6.51,3.27460908491132,-5.81013250891696,0,0
6.52,3.27691553327945,-5.80537986007341,0,0
6.53,3.27919905711138,-5.80733769195395,0,0
6.54,3.28138797987482,-5.81590425259222,0,0
6.55,3.283403354308,-5.8308365732936,0,0
6.56,3.28516056877688,-5.8517548149116,0,0
6.57,3.28657110517116,-5.87814883578189,0,0
6.58,3.28754441579861,-5.90938686301191,0,0
6.59,3.28798988429683,-5.94472612104494,0,0
6.6,3.28781883288351,-5.98332524105342,0,0
6.61,3.2869465400324,-6.02425825061078,0,0
6.62,3.28529423327286,-6.06652992382484,0,0
6.63,3.28279102013762,-6.10909225264232,0,0
6.64,3.27937571833554,-6.15086177585838,0,0
6.65,3.27499854773984,-6.19073748316276,0,0
6.66,3.26962265228046,-6.22761900987913,0,0
6.67,3.26322542526843,-6.26042483460356,0,0
6.68,3.25579961138368,-6.28811019728916,0,0
6.69,3.24735416030962,-6.30968446351629,0,0
6.7,3.23791481209018,-6.32422766953152,0,0
6.71,3.22752440031908,-6.33090599629035,0,0
6.72,3.21624286857432,-6.32898593561592,0,0
6.73,3.20414699754773,-6.3178469373578,0,0
6.74,3.1913298426263,-6.29699235297768,0,0
6.75,3.17789988664042,-6.26605851487413,0,0
6.76,3.16397991880956,-6.22482181686613,0,0
6.77,3.14970565934779,-6.17320369199823,0,0
6.78,3.13522415039925,-6.11127342308996,0,0
6.79,3.12069193690447,-6.03924875967336,0,0
6.8,3.10627306335858,-5.95749434301031,0,0
6.81,3.09213691712511,-5.86651797249436,0,0
6.82,3.07845595540118,-5.76696478058511,0,0
6.83,3.06540335597446,-5.65960941923834,0,0
6.84,3.05315062838447,-5.54534639494997,0,0
6.85,3.04186522065048,-5.42517871623712,0,0
6.86,3.03170816102451,-5.30020503375562,0,0
6.87,3.02283177382216,-5.17160546540049,0,0
6.88,3.01537750905477,-5.04062632158552,0,0
6.89,3.00947392103204,-4.90856397302881,0,0
6.9,3.00523482427526,-4.77674810511022,0,0
6.91,3.00275765373868,-4.64652460547211,0,0
6.92,3.00212205632694,-4.5192383458544,0,0
6.93,3.00338873837324,-4.39621611140288,0,0
6.94,3.00659858820391,-4.27874991748202,0,0
6.95,3.01177208509728,-4.16808094797141,0,0
6.96,3.01890899959745,-4.0653843364977,0,0
6.97,3.02798838704342,-3.97175499482274,0,0
6.98,3.03896887387751,-3.88819467357018,0,0
6.99,3.05178923289784,-3.81560041790398,0,0
7,3.0663692356405,-3.75475455806527,0,0
7.01,3.08261076515075,-3.70631635035118,0,0
7.02,3.10039916703201,-3.67081535569136,0,0
7.03,3.11960481476014,-3.64864661531167,0,0
7.04,3.14008486106459,-3.64006765813882,0,0
7.05,3.16168514315663,-3.64519733742704,0,0
7.06,3.18424221066699,-3.66401645980823,0,0
7.07,3.20758544248393,-3.69637015014561,0,0
7.08,3.23153921776077,-3.74197187224406,0,0
7.09,3.25592510703429,-3.80040899924666,0,0
7.1,3.28056404781902,-3.87114980816121,0,0
7.11,3.30527846800239,-3.95355175592607,0,0
7.12,3.3298943221078,-4.04687088141844,0,0
7.13,3.35424300932526,-4.15027216461282,0,0
7.14,3.37816314805333,-4.2628406613164,0,0
7.15,3.40150218079322,-4.3835932198277,0,0
7.16,3.42411778501023,-4.51149058372091,0,0
7.17,3.44587907230792,-4.64544969197805,0,0
7.18,3.46666756365174,-4.78435599271331,0,0
7.19,3.48637793098586,-4.92707559433327,0,0
7.2,3.50491849735592,-5.07246708334299,0,0
7.21,3.52221149294441,-5.21939284550207,0,0
7.22,3.53819307125946,-5.36672974752082,0,0
7.23,3.55281309532247,-5.51337906144372,0,0
7.24,3.56603470724377,-5.65827552947911,0,0
7.25,3.57783369705654,-5.80039548190889,0,0
7.26,3.58819768895146,-5.93876394054775,0,0
7.27,3.59712516697221,-6.07246066351148,0,0
7.28,3.60462436345906,-6.20062510757917,0,0
7.29,3.61071203609702,-6.32246030588435,0,0
7.3,3.61541216414649,-6.43723568000743,0,0
7.31,3.61875459398029,-6.54428882653143,0,0
7.32,3.62077366340673,-6.64302633930318,0,0
7.33,3.62150683525755,-6.73292373913967,0,0
7.34,3.62099337135398,-6.81352459150263,0,0
7.35,3.61927307558615,-6.88443890517377,0,0
7.36,3.61638513115874,-6.94534092526926,0,0
7.37,3.61236705469947,-6.99596644096949,0,0
7.38,3.60725378860297,-7.03610972072206,0,0
7.39,3.60107695154222,-7.06562018964326,0,0
7.4,3.59386426300394,-7.08439896528758,0,0
7.41,3.58563915186658,-7.09239536464062,0,0
7.42,3.57642055367464,-7.08960348678516,0,0
7.43,3.56622289857307,-7.07605896329224,0,0
7.44,3.55505628972117,-7.05183595796974,0,0
7.45,3.54292686974947,-7.01704449009886,0,0
7.46,3.52983736733312,-6.97182814286599,0,0
7.47,3.51578781020083,-6.91636220317403,0,0
7.48,3.50077638584001,-6.85085225911332,0,0
7.49,3.4848004280556,-6.77553325872027,0,0
7.5,3.4678575083084,-6.69066901970828,0,0
7.51,3.44994660891072,-6.59655216621403,0,0
7.52,3.43106935316275,-6.49350445565129,0,0
7.53,3.41123126304395,-6.38187744592846,0,0
7.54,3.3904430122319,-6.2620534369317,0,0
7.55,3.36872164427986,-6.13444660414664,0,0
7.56,3.34609172553109,-5.99950423289932,0,0
7.57,3.32258640616228,-5.85770796022342,0,0
7.58,3.29824836362794,-5.70957493394776,0,0
7.59,3.27313060293641,-5.55565879232108,0,0
7.6,3.24729709199216,-5.39655035495425,0,0
7.61,3.2208232108626,-5.23287791974242,0,0
7.62,3.19379599649529,-5.06530707821763,0,0
7.63,3.166314168936,-4.89453997307715,0,0
7.64,3.13848793112599,-4.72131392277314,0,0
7.65,3.11043853909484,-4.54639934329248,0,0
7.66,3.08229764321772,-4.37059691469009,0,0
7.67,3.05420640126286,-4.19473396367026,0,0
7.68,3.02631436480025,-4.01966004971873,0,0
7.69,2.99877814887408,-3.84624175766365,0,0
7.7,2.97175990309147,-3.67535671728667,0,0
7.71,2.94542560644927,-3.50788688386846,0,0
7.72,2.9199432112762,-3.34471113733585,0,0
7.73,2.89548066108165,-3.18669727775867,0,0
7.74,2.87220380875311,-3.03469351099612,0,0
7.75,2.85027426594745,-2.88951953303259,0,0
7.76,2.82984721579984,-2.75195733154631,0,0
7.77,2.81106922425028,-2.62274183917744,0,0
7.78,2.79407608490161,-2.50255158444085,0,0
7.79,2.77899073086304,-2.39199949216621,0,0
7.8,2.76592124786775,-2.29162398674356,0,0
7.81,2.75495902175391,-2.20188055535648,0,0
7.82,2.74617705317911,-2.12313393086022,0,0
7.83,2.73962846885836,-2.05565104366392,0,0
7.84,2.73534525591786,-1.99959488552847,0,0
7.85,2.73333724278656,-1.95501942245482,0,0
7.86,2.73359134666033,-1.92186568097135,0,0
7.87,2.7360711038045,-1.89995911982543,0,0
7.88,2.74071649435589,-1.88900837689623,0,0
7.89,2.74744407214656,-1.88860545188341,0,0
