"time_ext","dF_405","dF_465","freeze","freeze_cut"
6,1.38603449093202,1.56993495324212,0,0
6.01,1.38597324062883,1.57219629741973,0,0
6.02,1.38607648797496,1.56985652775814,0,0
6.03,1.38633648415298,1.56293481051745,0,0
6.04,1.38673082951537,1.55148682156713,0,0
6.05,1.38722291767214,1.53560390679792,0,0
6.06,1.38776267067617,1.51541170841783,0,0
6.07,1.38828755336018,1.49106828347925,0,0
6.08,1.38872384507332,1.46276174819398,0,0
6.09,1.3889881430301,1.43070749341009,0,0
6.1,1.38898907039556,1.39514502348172,0,0
6.11,1.38862916248283,1.35633448061194,0,0
6.12,1.38780689875089,1.31455292710873,0,0
6.13,1.38641884194023,1.27009045696811,0,0
6.14,1.384361846223,1.22324621135012,0,0
6.15,1.38153529808478,1.1743243724766,0,0
6.16,1.37784335189415,1.12363020775867,0,0
6.17,1.37319711892486,1.07146623724922,0,0
6.18,1.36751676839853,1.01812859458101,0,0
6.19,1.36073350082308,0.963903645453729,0,0
6.2,1.35279135899242,0.90906492153893,0,0
6.21,1.3436488459693,0.853870424446758,0,0
6.22,1.33328032046731,0.798560348223079,0,0
6.23,1.32167714108336,0.743355254416472,0,0
6.24,1.30884853502482,0.68845472309622,0,0
6.25,1.29482217455714,0.634036497067243,0,0
6.26,1.27964444984615,0.580256126967906,0,0
6.27,1.26338042962919,0.527247110782014,0,0
6.28,1.24611350424765,0.475121507787944,0,0
6.29,1.22794471204557,0.423970998366749,0,0
6.3,1.20899175850002,0.373868351915597,0,0
6.31,1.18938774256402,0.324869257151863,0,0
6.32,1.16927960827885,0.277014466326675,0,0
6.33,1.14882634170094,0.230332198422756,0,0
6.34,1.12819693821957,0.184840741463809,0,0
6.35,1.10756817287815,0.140551188001185,0,0
6.36,1.08712220971024,0.0974702311868599,0,0
6.37,1.06704408682635,0.0556029492509025,0,0
6.38,1.04751911357357,0.0149555047083973,0,0
6.39,1.02873021908357,-0.0244623116020866,0,0
6.4,1.01085529715783,-0.0626347523469024,0,0
6.41,0.994064592965006,-0.0995380597977015,0,0
6.42,0.978518173741603,-0.135138741157272,0,0
6.43,0.964363520371416,-0.169392214484342,0,0
6.44,0.951733273391859,-0.20224186006846,0,0
6.45,0.940743168819195,-0.233618505661624,0,0
6.46,0.931490200543351,-0.263440364601585,0,0
6.47,0.924051043681963,-0.291613437965282,0,0
6.48,0.918480765270469,-0.31803238123922,0,0
6.49,0.914811840779256,-0.342581824840217,0,0
6.5,0.913053492025754,-0.365138125325371,0,0
6.51,0.913191359965791,-0.385571513363436,0,0
6.52,0.91518752112301,-0.403748597495595,0,0
6.53,0.918980847217404,-0.419535176925358,0,0
6.54,0.924487699333991,-0.432799312096561,0,0
6.55,0.931602946504127,-0.443414592863874,0,0
6.56,0.940201297097162,-0.451263535700536,0,0
6.57,0.950138927217556,-0.456241041904675,0,0
6.58,0.961255382009168,-0.458257848245729,0,0
6.59,0.973375718329276,-0.457243900115727,0,0
6.6,0.986312854178843,-0.453151574375744,0,0
6.61,0.999870090025862,-0.445958681862268,0,0
6.62,1.01384376651212,-0.435671190816804,0,0
6.63,1.02802601877691,-0.422325617491618,0,0
6.64,1.04220758461234,-0.405991028459557,0,0
6.65,1.05618062313706,-0.386770603873944,0,0
6.66,1.06974150350015,-0.364802718829392,0,0
6.67,1.08269352473146,-0.340261511555267,0,0
6.68,1.09484952741513,-0.313356923391201,0,0
6.69,1.10603435607976,-0.284334202667853,0,0
6.7,1.11608713326623,-0.253472869639327,0,0
6.71,1.12486331381341,-0.221085146730338,0,0
6.72,1.13223649380364,-0.187513866616515,0,0
6.73,1.13809995050236,-0.153129885615542,0,0
6.74,1.14236788976012,-0.118329038358843,0,0
6.75,1.14497638345015,-0.0835286744886271,0,0
6.76,1.14588398802641,-0.0491638257034838,0,0
6.77,1.14507203944093,-0.015683057182064,0,0
6.78,1.14254462250432,0.0164559364327082,0,0
6.79,1.13832821639547,0.0467909295508085,0,0
6.8,1.1324710230809,0.0748598982651473,0,0
6.81,1.12504199300765,0.100205822063296,0,0
6.82,1.11612956844986,0.122381485947694,0,0
6.83,1.10584016808564,0.140954213417786,0,0
6.84,1.09429643792012,0.15551046627483,0,0
6.85,1.08163529573447,0.165660255646596,0,0
