"time_ext","dF_405","dF_465","freeze","freeze_cut"
6,-0.228232113754506,2.04620653928062,0,0
6.01,-0.226263194995177,2.0485672112207,0,0
6.02,-0.228243728822754,2.04619829310004,0,0
6.03,-0.234155362345189,2.03912151612293,0,0
6.04,-0.243943368490966,2.02740209697639,0,0
6.05,-0.257517217344791,2.01114802659931,0,0
6.06,-0.274751531424749,1.99050888736843,0,0
6.07,-0.295487411689716,1.96567421098102,0,0
6.08,-0.319534112957738,1.93687139676614,0,0
6.09,-0.346671047276561,1.90436321078364,0,0
6.1,-0.376650095806627,1.86844488385696,0,0
6.11,-0.409198209530673,1.82944083611852,0,0
6.12,-0.444020270043803,1.78770106454498,0,0
6.13,-0.480802173684876,1.7435972369186,0,0
6.14,-0.51921410365077,1.69751853654441,0,0
6.15,-0.558913957566238,1.64986730132564,0,0
6.16,-0.599550897115833,1.60105450032285,0,0
6.17,-0.64076897948475,1.55149509296017,0,0
6.18,-0.682210824572835,1.50160332125975,0,0
6.19,-0.723521274075118,1.45178799018211,0,0
6.2,-0.76435100568275,1.40244779216517,0,0
6.21,-0.804360070715184,1.35396673590621,0,0
6.22,-0.84322131759593,1.30670973662939,0,0
6.23,-0.880623659668969,1.26101842223762,0,0
6.24,-0.916275147279583,1.21720720882327,0,0
6.25,-0.949905811273865,1.17555969584436,0,0
6.26,-0.981270253960015,1.13632543321891,0,0
6.27,-1.01014996295864,1.09971710777636,0,0
6.28,-1.03635531941407,1.06590819138972,0,0
6.29,-1.05972727354514,1.03503108493112,0,0
6.3,-1.08013867178168,1.00717579284203,0,0
6.31,-1.09749523289497,0.9823891659281,0,0
6.32,-1.11173617087714,0.960674735987508,0,0
6.33,-1.12283445286721,0.941993149967447,0,0
6.34,-1.1307966801795,0.926263204083181,0,0
6.35,-1.13566259353898,0.913363476074558,0,0
6.36,-1.13750422047797,0.903134552175136,0,0
6.37,-1.13642468668241,0.895381837334847,0,0
6.38,-1.13255670626095,0.88987892049764,0,0
6.39,-1.12606076067328,0.886371447901352,0,0
6.4,-1.11712298340456,0.884581460541482,0,0
6.41,-1.10595278085576,0.884212158456617,0,0
6.42,-1.09278022487047,0.884953039599993,0,0
6.43,-1.07785325100536,0.886485340555459,0,0
6.44,-1.06143469302669,0.888487702537015,0,0
6.45,-1.0437991834041,0.890641988042079,0,0
6.46,-1.0252299579734,0.892639168203507,0,0
6.47,-1.00601560762075,0.894185197861311,0,0
