"","seconds","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","average","SE"
"1",-2,-5.69943139814026,-5.37625163262259,0.608861327375705,-5.97709691023579,-7.4293582472196,2.21950105503867,-0.405505896696555,-6.18031385734679,-6.37709383296781,-7.04925097369207,-3.77240879056843,-5.02598192140367,-6.01563172154148,-4.34461252307851,0.864622941026789
"2",-1.99,-5.73865274641394,-5.35402622779977,0.450232095348798,-6.08881184855583,-7.43681731710646,2.30387599316554,-0.552483979878107,-6.16697023542167,-6.41594928149636,-7.06999121077229,-3.56977296793332,-5.02901437044494,-6.01179142023496,-4.36001334750333,0.862404569897755
"3",-1.98,-5.78904196705773,-5.33125856046319,0.294557385881481,-6.20473426363611,-7.43116477570177,2.39224316991742,-0.70590300122899,-6.15412504268699,-6.45363793913083,-7.09361898309334,-3.35702260421132,-5.03378572443098,-6.01299330844083,-4.37542197032947,0.861181515328465
"4",-1.97,-5.85028220274759,-5.30793540928616,0.142137903732685,-6.32393602317776,-7.41223706847539,2.48467242355812,-0.865405419042264,-6.14204837045232,-6.48971045444269,-7.11967235875223,-3.13589505520748,-5.0410045078727,-6.01922563899181,-4.39081093701212,0.861028526372545
"5",-1.96,-5.9218700966371,-5.28403790518587,-0.00680118933548271,-6.44541595799899,-7.37999786727683,2.58122244519829,-1.03054714630337,-6.13098962963635,-6.52372837699134,-7.14761706681638,-2.90816671979596,-5.05128789048523,-6.03041274552147,-4.40612693436816,0.862004400594341
"6",-1.95,-6.00311726867451,-5.25954693165627,-0.152105703297369,-6.56810980417466,-7.33454026527806,2.6819368322993,-1.20079737986186,-6.12117486602328,-6.55527160163407,-7.17685544839105,-2.67563566049657,-5.06515391875659,-6.04641471875934,-4.42129128728495,0.864149131028066
"7",-1.94,-6.09315448563521,-5.234448387357,-0.293686752779244,-6.69090133660921,-7.27608760814976,2.78683995068906,-1.37553988335066,-6.112804345504,-6.58394570772164,-7.20673648523448,-2.44010447731581,-5.08301545356293,-6.0670280402135,-4.43620100098034,0.86748145150387
"8",-1.93,-6.19093851783505,-5.20873818389379,-0.431514147632161,-6.81263456305457,-7.2049929388591,2.89593268135526,-1.55407575653483,-6.10605044405033,-6.60938905783634,-7.23656675310493,-2.20336360675894,-5.10517588907806,-6.09198717301165,-4.45073033463804,0.871996954285052
"9",-1.92,-6.29526163966424,-5.18242686997576,-0.565609003818717,-6.93212683429498,-7.12173704241959,3.00918812731295,-1.73562769993609,-6.10105586576769,-6.63127952961297,-7.26562214352945,-1.96717520800067,-5.13182670156903,-6.12096709526788,-4.46473288511878,0.877666923965661
"10",-1.91,-6.40476370021815,-5.15554377660534,-0.696035744511552,-7.04818270496161,-7.0269251049123,3.12654736090873,-1.91934574712525,-6.09793221045511,-6.64934076226621,-7.29316018336196,-1.73325778329603,-5.16304684138416,-6.15358674282398,-4.47804414930869,0.884437985685493
"11",-1.9,-6.51794664642597,-5.12814058083281,-0.822893672091355,-7.15960835917747,-6.921282020828,3.24791529626085,-2.10431441573274,-6.09675891307115,-6.66334780055367,-7.31843276225101,-1.50327166558873,-5.19880395593604,-6.18941331781909,-4.49048452415748,0.892232608221065
"12",-1.89,-6.6331913367741,-5.10029420551328,-0.946308299220752,-7.26522640192563,-6.80564638723854,3.37315677062286,-2.28956119992832,-6.09758257535733,-6.6731320196257,-7.34069906749753,-1.27880549264568,-5.23895740374852,-6.22796740808808,-4.50186269438005,0.900950442111855
"13",-1.88,-6.74877644440365,-5.07210899301046,-1.06642262205851,-7.36389081673537,-6.6809632333132,3.50209291196167,-2.47406630350596,-6.10041670365128,-6.67858523073706,-7.35923852817445,-1.06136377028932,-5.28326298921919,-6.2687288502259,-4.51197935179713,0.910470418574181
"14",-1.87,-6.86289922062691,-5.04371809499874,-1.18338851323722,-7.45450188007441,-6.54827555831915,3.6344978695002,-2.65677348883732,-6.10524185504597,-6.67966288594212,-7.37336356840165,-0.852355618523711,-5.33137931572596,-6.31114325998314,-4.52063118386278,0.92065349229982
"15",-1.86,-6.97369786428692,-5.01528404519933,-1.29735840268681,-7.53602081650895,-6.40871476607401,3.77009599207667,-2.83660189884433,-6.1120061935691,-6.67638632218655,-7.38243197100228,-0.653084781332155,-5.38287562891391,-6.35462913644778,-4.52761506422888,0.931345884634792
"16",-1.85,-7.07927521074602,-4.98699851257694,-1.40847740565535,-7.60748397649469,-6.26349008877258,3.90855954041698,-3.01245869574576,-6.12062645476439,-6.66884400327116,-7.38585866261106,-0.464740956964892,-5.43724101168135,-6.39858543618324,-4.53273237500388,0.942382673083324
"17",-1.84,-7.17772342433493,-4.95908123659498,-1.51687604365962,-7.66801632546316,-6.11387710412056,4.04950700633238,-3.18325233528899,-6.13098931793048,-6.65719172106012,-7.38312674075511,-0.288392480802703,-5.49389477527213,-6.44239950500517,-4.53579338491966,0.953591576354508
"18",-1.83,-7.26714936576894,-4.93177815938411,-1.62266368896822,-7.71684404114983,-5.9612054607775,4.19250210474499,-3.34790628127314,-6.14295318428119,-6.64165172936329,-7.37379757127328,-0.124980382177929,-5.55219786995505,-6.48545526159836,-4.53662160701737,0.964796798514908
"19",-1.82,-7.34570029156186,-4.90535878853581,-1.72592284628574,-7.75330602418864,-5.80684594252328,4.33705349132718,-3.50537295834739,-6.15635034650748,-6.62251080319255,-7.35751979100034,0.0246861728982554,-5.61146511517926,-6.52714152910245,-4.53505805939995,0.975822815921198
"20",-1.81,-7.41158952744759,-4.88011284607861,-1.82670436346301,-7.77686414604028,-5.65219700570808,4.48261523506813,-3.65464772910386,-6.17098952291677,-6.60011723991419,-7.33403706997528,0.159933054770533,-5.67097803313194,-6.56686039066052,-4.53096535266165,0.986498012727234
"21",-1.8,-7.46312175894413,-4.8563462743934,-1.92502364863921,-7.78711207286877,-5.4986709252135,4.62858807562573,-3.79478267728201,-6.18665872492163,-6.57487684178654,-7.30319450690041,0.28022297436965,-5.72999807824534,-6.60403543690182,-4.52423153046934,0.99665809362039
"22",-1.79,-7.4987175825525,-4.83437667546495,-2.02085795003875,-7.78378252284693,-5.34767968975965,4.77432149848418,-3.92489997819003,-6.20312842534197,-6.54724793742521,-7.26494354531136,0.385155950338438,-5.78778005137125,-6.63811978223747,-4.51477359167057,1.00614922278011
"23",-1.78,-7.51693696295239,-4.81452827118749,-2.1141447256186,-7.7667528366219,-5.20062079085211,4.91911665106611,-4.0442046397161,-6.22015498849477,-6.51773552271792,-7.21934532580714,0.474468480694317,-5.84358547624466,-6.66860373330935,-4.50254062628938,1.01483085368917
"24",-1.77,-7.51650125486291,-4.79712648515488,-2.20478111321742,-7.73604875915206,-5.0588630558408,5.06223010066045,-4.15199640762947,-6.23748431431852,-6.48688460729643,-7.16657241810733,0.548031473956818,-5.89669571996114,-6.69502200121735,-4.48751650478008,1.02257822480185
"25",-1.76,-7.49631346358118,-4.78249225364328,-2.29262449560814,-7.69184635497567,-4.92373267698432,5.20287842074591,-4.24768064315825,-6.25485564966281,-6.45527285899522,-7.10690890123034,0.605847000190254,-5.94642464698576,-6.71696035503226,-4.46972206760931,1.0292845028577
"26",-1.75,-7.45547644062589,-4.77093618461296,-2.37749414216242,-7.634472007171,-4.7964995808043,5.34024358229964,-4.33077799057384,-6.27200552219952,-6.42350265534648,-7.04074877834757,0.648043923613053,-5.9921306098451,-6.73406161956766,-4.44921677118031,1.03486255953213
"27",-1.74,-7.39330873730609,-4.7627526859812,-2.45917388524661,-7.56440048326001,-4.67836427974418,5.47347910944727,-4.40093265850808,-6.28867174986963,-6.39219266534621,-6.9685927351644,0.674872494681367,-6.03322759200222,-6.74603093316597,-4.42609975395892,1.03924636900239
"28",-1.73,-7.30935786651209,-4.75821418173886,-2.537415751381,-7.48225108068635,-4.57044535164036,5.60171695018409,-4.45791915596925,-6.30459746259491,-6.36196909088988,-6.89104327734738,0.686697985693722,-6.06919532899783,-6.75264018388982,-4.4005102919823,1.042392014061
"29",-1.72,-7.20341075360229,-4.75756552825471,-2.61194445921998,-7.38878188325224,-4.47376768353713,5.72407500372015,-4.50164735121945,-6.31953507364447,-6.33345670082652,-6.80879830267073,0.683993452201208,-6.09958825781105,-6.75373154887821,-4.37262762207657,1.04427828683472
"30",-1.71,-7.07550119576698,-4.76101873683496,-2.68246269918505,-7.2848821870142,-4.38925159808733,5.83966522749605,-4.53216575897749,-6.33325014770929,-6.30726979456361,-6.72264319273996,0.667331709575251,-6.12404316987342,-6.74922007730122,-4.34267012469094,1.04490686883675
"31",-1.7,-6.92591419849884,-4.76874810967396,-2.74865708767823,-7.17156319095374,-4.31770297039093,5.94760223657109,-4.54966298295902,-6.34552510935325,-6.28400323676805,-6.63344153181755,0.637376623677582,-6.14228546149077,-6.73909527312794,-4.31089386865105,1.04430207512663
"32",-1.69,-6.75518709832618,-4.78088589102515,-2.81020467122005,-7.04994707469062,-4.25980444151571,6.04701230059077,-4.55446725254209,-6.35616274409362,-6.26422370780799,-6.5421245725643,0.594873819833525,-6.15413389848718,-6.72342165347995,-4.27759052964066,1.04251014789446
"33",-1.68,-6.564107421889,-4.79751852036842,-2.86677984997756,-6.92125459841399,-4.21610782479529,6.13704262917863,-4.54704402900184,-6.36498943199596,-6.24846130971786,-6.44967959656242,0.540640908103621,-6.15950383115337,-6.70233827710579,-4.24308470413071,1.03959808552143
"34",-1.67,-6.35370747793018,-4.81868356860322,-2.91806158479843,-6.78679137915365,-4.18702778570992,6.21687083623657,-4.52799168124087,-6.37185804908331,-6.23720165886302,-6.3571373406657,0.47555731935683,-6.15840882080953,-6.67605725102652,-4.207730649407,1.03565199727966
"35",-1.66,-6.12525572491353,-4.84436742919232,-2.96374074962442,-6.64793302232265,-4.17283686566847,6.28571446962716,-4.49803527694767,-6.37665049252783,-6.23087858777581,-6.26555867209334,0.40055385038907,-6.15096067376584,-6.64486123843697,-4.17190849332712,1.03077498125766
"36",-1.65,-5.88024500258831,-4.87450381077289,-3.00352748608415,-6.50610930551833,-4.17366190338855,6.3428404817023,-4.45801857367782,-6.37927979054801,-6.22986757180867,-6.17602069386845,0.31660201662821,-6.13736790477009,-6.60909999775807,-4.13601996480406,1.02508453280256
"37",-1.64,-5.62037776231506,-4.90897305872941,-3.03715842694162,-6.36278762898187,-4.18948189611231,6.38757451696635,-4.40889429958641,-6.37969176427961,-6.23447998007336,-6.0896024734046,0.224703313062438,-6.11793267975377,-6.56918599188454,-4.10048370246414,1.01870950526647
"38",-1.63,-5.34754847585136,-4.9476023208952,-3.06440365966204,-6.21945595902892,-4.22012733054408,6.41930989348765,-4.35171283898778,-6.37786620624451,-6.24495823836609,-6.00737059953579,0.125878476018863,-6.0930463109368,-6.52558912399174,-4.06573020727214,1.0117866634026
"39",-1.62,-5.06382343982302,-4.99016656552594,-3.08507329369771,-6.07760549108816,-4.26528099380246,6.43751614704963,-4.28760946896262,-6.37381754401493,-6.26147198400259,-5.93036477205367,0.0211568369102033,-6.06318338761885,-6.47883067080287,-4.03219650980254,1.004456891902
"40",-1.61,-4.77141823369005,-5.0363904463581,-3.09902350452881,-5.93871326224835,-4.32448025370204,6.44174700637514,-4.21779033034923,-6.36759497531746,-6.28411527987181,-5.85958363428602,-0.0884341387970587,-6.02889464091196,-6.42947649964144,-4.00032063025594,0.996861148046093
"41",-1.6,-4.47267312565312,-5.08595099274139,-3.10616194826952,-5.8042249499252,-4.39712078306636,6.43164768066332,-4.14351733069281,-6.3592820666173,-6.31290493840913,-5.79597105688693,-0.201879041364656,-5.99079866651469,-6.3781296647965,-3.97053591417495,0.989136276095086
"42",-1.59,-4.17002674440502,-5.13848108669693,-3.10645245512197,-5.67553808489435,-4.48246169671669,6.40696135198941,-4.06609218542035,-6.34899581661197,-6.34777997958448,-5.74040306486075,-0.318184344213059,-5.94957265333415,-6.32542248211367,-3.94326532630646,0.98141082871043
"43",-1.58,-3.86598835442054,-5.19357366880312,-3.09991891590581,-5.55398589953172,-4.57963206071459,6.36753476229264,-3.98683982077446,-6.33688519479229,-6.38860222444478,-5.69367558689194,-0.436387782478559,-5.9059422842555,-6.27200818800921,-3.91891578605615,0.973801063315567
"44",-1.57,-3.56310909458326,-5.25078659642709,-3.08664828125594,-5.44082202461535,-4.68763871589929,6.31332279157048,-3.90709137266688,-6.32312917396835,-6.43515800710117,-5.65649320164407,-0.555567206151496,-5.8606709858001,-6.21855229969463,-3.89787262832593,0.966407296420837
"45",-1.56,-3.26395255777969,-5.30964806887961,-3.06679261946987,-5.33720623558716,-4.80537533682669,6.24439193547758,-3.82816703184576,-6.30793428114743,-6.4871609733298,-5.62945904467847,-0.674848836007423,-5.81454869467205,-6.16572379307185,-3.88049427213986,0.959310801699823
"46",-1.55,-2.97106510487821,-5.36966254020047,-3.04057019490467,-5.24419144387435,-4.93163263154535,6.16092260747673,-3.75135898469603,-6.29153169709498,-6.54425592209312,-5.61306602517617,-0.793414861949984,-5.76838031408715,-6.11418621741361,-3.86710717926441,0.952571425684847
"47",-1.54,-2.68694631782424,-5.43031703377581,-3.00826553668041,-5.16271209829609,-5.06510958031624,6.06321021144529,-3.67791469614567,-6.27417394517961,-6.60602363682278,-5.60768948164261,-0.910510318598704,-5.72297404754958,-6.06458887680341,-3.85800118139922,0.946226066761523
"48",-1.53,-2.41401999243729,-5.49108775955025,-2.97022848851943,-5.09357413790328,-5.20442560546515,5.9516649361254,-3.60902078313123,-6.25613121166722,-6.67198663606401,-5.61358137755052,-1.02544917415842,-5.67912978974461,-6.01755820127842,-3.85342524779573,0.940288116775472
"49",-1.52,-2.15460605434994,-5.55144692455532,-2.92687225110443,-5.03744662190609,-5.34813355423161,5.82681023459415,-3.54578771949698,-6.23768734729411,-6.74161575209227,-5.63086612197806,-1.13761958560941,-5.63762774613754,-5.97368942210015,-3.85358375894321,0.934747906173523
"50",-1.51,-1.91089377072798,-5.61086961849061,-2.87867044384046,-4.99485513478551,-5.49473336948472,5.68927997698206,-3.48923560111073,-6.21913561622383,-6.8143374365487,-5.65953807562352,-1.24648827383073,-5.59921744865136,-5.93353866494454,-3.8586333444062,0.929574130219464
"51",-1.5,-1.68491661124601,-5.66884066289981,-2.82615322779031,-4.96617703962656,-5.64268631546929,5.53981429042732,-3.44028118799777,-6.20077426032943,-6.88954167591588,-5.69946076957023,-1.35160398602259,-5.56460732534504,-5.89761556937488,-3.86868033393542,0.924716170465236
"52",-1.49,-1.47852908983703,-5.72486131584688,-2.76990254527769,-4.95163862719528,-5.79042962130051,5.37925411145109,-3.39972641224173,-6.1829019453572,-6.96659039146107,-5.75036785007358,-1.45260002030977,-5.53445497586732,-5.86637653714798,-3.88377886311269,0.920107169825429
"53",-1.48,-1.29338589898765,-5.77845573131663,-2.71054653798499,-4.95131418188548,-5.93639139872478,5.20853448233966,-3.36824850895362,-6.16581316078323,-7.04482619497485,-5.81186573639724,-1.54919578516872,-5.50935829433068,-5.84021869930506,-3.90392966511333,0.915667677597444
"54",-1.47,-1.13092360987693,-5.82917707526651,-2.64875321877149,-4.96512695462074,-6.07900568229375,5.02867663234318,-3.34639191742123,-6.14979364441818,-7.12358136521434,-5.88343795795632,-1.64119738025943,-5.48984756119974,-5.81947467650299,-3.92907957011219,0.911309656162098
"55",-1.46,-0.992345174433283,-5.87661319908357,-2.58522349021539,-4.99285200616172,-6.2167274347995,4.84077890742485,-3.33456207697386,-6.13511590072346,-7.20218690955269,-5.96445111964699,-1.72849720290406,-5.47637859839404,-5.80440820446213,-3.95912172384045,0.906940636178612
"56",-1.45,-0.878607423544218,-5.92039178436785,-2.52068360778238,-5.03412085753587,-6.34804735979552,4.64600664302052,-3.33302121162158,-6.12203488887709,-7.27998156649606,-6.05416241264597,-1.81107258571295,-5.46932705861874,-5.79521069288541,-3.99389652360485,0.902467819873317
"57",-1.44,-0.790411711134233,-5.96018488664499,-2.45587719158966,-5.08842785649623,-6.4715063773213,4.44558109021315,-3.34188617095269,-6.11078396047436,-7.35632059905815,-6.15172856119377,-1.88898346926633,-5.46898390277407,-5.79199876763113,-4.03319325879414,0.897801957026585
