"14026"
"
"

 slice 1 
,DAPI,cFos,BLA,BLA_cFos
IL,3689.0,817.0,154.0,53.0
PL,3030.0,819.0,87.0,45.0
AC,1528.0,439.0,72.0,44.0

 slice 2 
,DAPI,cFos,BLA,BLA_cFos
IL,1424.0,327.0,68.0,33.0
PL,2422.0,588.0,62.0,26.0
AC,1724.0,354.0,65.0,28.0

 slice 3 
,DAPI,cFos,BLA,BLA_cFos
IL,4229.0,822.0,140.0,41.0
PL,2839.0,735.0,75.0,28.0
AC,1592.0,396.0,47.0,24.0

 slice 4 
,DAPI,cFos,BLA,BLA_cFos
IL,3142.0,756.0,64.0,31.0
PL,2763.0,713.0,61.0,30.0
AC,1646.0,347.0,39.0,16.0
