"14025"
"
"

 slice 1 
,DAPI,cFos,BLA,BLA_cFos
IL,4174.0,932.0,35.0,15.0
PL,2873.0,624.0,49.0,19.0
AC,1379.0,322.0,35.0,13.0

 slice 2 
,DAPI,cFos,BLA,BLA_cFos
IL,2916.0,755.0,46.0,29.0
PL,3338.0,983.0,37.0,20.0
AC,1994.0,531.0,45.0,23.0

 slice 3 
,DAPI,cFos,BLA,BLA_cFos
PL,2922.0,621.0,60.0,26.0
AC,1694.0,379.0,27.0,11.0

 slice 4 
,DAPI,cFos,BLA,BLA_cFos
IL,1150.0,257.0,34.0,11.0
PL,3158.0,773.0,35.0,10.0
AC,1952.0,406.0,21.0,9.0
