"14027"
"
"

 slice 1 
,DAPI,cFos,BLA,BLA_cFos
IL,3879.0,717.0,91.0,30.0
PL,2079.0,310.0,20.0,4.0
AC,3045.0,403.0,31.0,7.0

 slice 2 
,DAPI,cFos,BLA,BLA_cFos
IL,3876.0,723.0,97.0,27.0
PL,3091.0,602.0,46.0,17.0
AC,1668.0,334.0,23.0,10.0

 slice 3 
,DAPI,cFos,BLA,BLA_cFos
IL,4886.0,976.0,73.0,24.0
PL,2604.0,404.0,20.0,9.0
AC,1400.0,151.0,12.0,3.0

 slice 4 
,DAPI,cFos,BLA,BLA_cFos
IL,3080.0,712.0,68.0,29.0
PL,3210.0,783.0,48.0,21.0
AC,1205.0,204.0,14.0,4.0
