"14034"
"
"

 slice 1 
,DAPI,cFos,BLA,BLA_cFos
IL,5602.0,874.0,65.0,20.0
PL,3784.0,619.0,75.0,18.0
AC,1146.0,81.0,52.0,8.0

 slice 2 
,DAPI,cFos,BLA,BLA_cFos
IL,4306.0,632.0,47.0,14.0
PL,4851.0,857.0,59.0,23.0
AC,1838.0,179.0,60.0,12.0

 slice 3 
,DAPI,cFos,BLA,BLA_cFos
IL,5611.0,956.0,59.0,25.0
PL,4198.0,772.0,57.0,19.0
AC,1896.0,225.0,99.0,26.0

 slice 4 
,DAPI,cFos,BLA,BLA_cFos
IL,3668.0,475.0,62.0,22.0
PL,4846.0,667.0,141.0,47.0
AC,1435.0,131.0,45.0,6.0
