"14036"
"
"

 slice 1 
,DAPI,cFos,BLA,BLA_cFos
PL,2769.0,249.0,56.0,10.0
AC,1377.0,114.0,29.0,11.0

 slice 2 
,DAPI,cFos,BLA,BLA_cFos
IL,982.0,103.0,32.0,11.0
PL,3183.0,301.0,47.0,7.0
AC,1730.0,134.0,35.0,6.0

 slice 3 
,DAPI,cFos,BLA,BLA_cFos
IL,786.0,78.0,36.0,8.0
PL,3040.0,275.0,63.0,11.0
AC,1629.0,140.0,33.0,7.0

 slice 4 
,DAPI,cFos,BLA,BLA_cFos
IL,4116.0,436.0,44.0,9.0
PL,3334.0,363.0,27.0,6.0
AC,2340.0,246.0,28.0,5.0
