"14028"
"
"

 slice 1 
,DAPI,cFos,BLA,BLA_cFos
IL,2622.0,381.0,22.0,1.0
PL,3821.0,815.0,110.0,34.0
AC,1452.0,345.0,46.0,17.0

 slice 2 
,DAPI,cFos,BLA,BLA_cFos
IL,1516.0,275.0,30.0,10.0
PL,2806.0,769.0,59.0,19.0
AC,1684.0,457.0,64.0,35.0

 slice 3 
,DAPI,cFos,BLA,BLA_cFos
IL,3485.0,663.0,61.0,15.0
PL,3913.0,984.0,89.0,43.0
AC,1898.0,413.0,58.0,32.0

 slice 4 
,DAPI,cFos,BLA,BLA_cFos
IL,5854.0,1340.0,44.0,15.0
PL,3690.0,1223.0,60.0,33.0
AC,1960.0,547.0,46.0,26.0
