"14030"
"
"

 slice 1 
,DAPI,cFos,BLA,BLA_cFos
IL,4094.0,782.0,57.0,17.0
PL,3295.0,935.0,34.0,21.0
AC,1664.0,366.0,36.0,15.0

 slice 2 
,DAPI,cFos,BLA,BLA_cFos
IL,2184.0,365.0,87.0,22.0
PL,1076.0,213.0,42.0,12.0
AC,1554.0,206.0,70.0,18.0

 slice 3 
,DAPI,cFos,BLA,BLA_cFos
IL,2502.0,383.0,63.0,19.0
PL,2374.0,385.0,70.0,14.0
AC,1485.0,179.0,44.0,7.0

 slice 4 
,DAPI,cFos,BLA,BLA_cFos
IL,2190.0,311.0,49.0,15.0
PL,4410.0,1041.0,76.0,26.0
AC,1547.0,310.0,48.0,22.0
