"14033"
"
"

 slice 1 
,DAPI,cFos,BLA,BLA_cFos
IL,1932.0,278.0,75.0,19.0
PL,3832.0,646.0,125.0,34.0
AC,1015.0,135.0,22.0,5.0

 slice 2 
,DAPI,cFos,BLA,BLA_cFos
IL,2578.0,458.0,36.0,14.0
PL,3793.0,696.0,84.0,30.0
AC,1753.0,203.0,48.0,14.0

 slice 3 
,DAPI,cFos,BLA,BLA_cFos
IL,2394.0,347.0,78.0,23.0
PL,3805.0,615.0,84.0,22.0
AC,1730.0,255.0,43.0,15.0

 slice 4 
,DAPI,cFos,BLA,BLA_cFos
IL,4022.0,589.0,101.0,35.0
PL,2988.0,464.0,78.0,29.0
AC,1662.0,202.0,45.0,12.0
