"14029"
"
"

 slice 1 
,DAPI,cFos,BLA,BLA_cFos
IL,3715.0,985.0,61.0,29.0
PL,4634.0,1366.0,92.0,50.0
AC,1763.0,526.0,42.0,22.0

 slice 2 
,DAPI,cFos,BLA,BLA_cFos
IL,2577.0,668.0,54.0,27.0
PL,4278.0,1448.0,54.0,29.0
AC,2011.0,671.0,31.0,19.0

 slice 3 
,DAPI,cFos,BLA,BLA_cFos
IL,3279.0,719.0,55.0,18.0
PL,3741.0,1105.0,58.0,24.0
AC,1796.0,526.0,45.0,19.0

 slice 4 
,DAPI,cFos,BLA,BLA_cFos
IL,3209.0,775.0,33.0,17.0
PL,5473.0,1595.0,65.0,32.0
AC,2041.0,557.0,25.0,8.0
