"14032"
"
"

 slice 1 
,DAPI,cFos,BLA,BLA_cFos
IL,800.0,98.0,17.0,5.0
PL,4882.0,725.0,120.0,47.0
AC,1632.0,260.0,48.0,23.0

 slice 2 
,DAPI,cFos,BLA,BLA_cFos
IL,2501.0,318.0,35.0,8.0
PL,3745.0,630.0,59.0,22.0
AC,1393.0,208.0,34.0,11.0

 slice 3 
,DAPI,cFos,BLA,BLA_cFos
IL,2485.0,364.0,20.0,9.0
PL,3050.0,508.0,36.0,15.0
AC,1470.0,329.0,42.0,15.0

 slice 4 
,DAPI,cFos,BLA,BLA_cFos
IL,3348.0,443.0,41.0,10.0
PL,3570.0,621.0,63.0,18.0
AC,1305.0,253.0,37.0,14.0
