"14035"
"
"

 slice 1 
,DAPI,cFos,BLA,BLA_cFos
IL,3303.0,326.0,59.0,15.0
PL,5476.0,811.0,92.0,29.0
AC,1786.0,298.0,46.0,10.0

 slice 2 
,DAPI,cFos,BLA,BLA_cFos
IL,3612.0,379.0,42.0,8.0
PL,4224.0,638.0,86.0,29.0
AC,1562.0,276.0,36.0,13.0

 slice 3 
,DAPI,cFos,BLA,BLA_cFos
IL,2493.0,233.0,25.0,7.0
PL,4839.0,699.0,66.0,21.0
AC,2081.0,352.0,53.0,18.0

 slice 4 
,DAPI,cFos,BLA,BLA_cFos
IL,4060.0,572.0,23.0,8.0
PL,4262.0,724.0,42.0,13.0
AC,2466.0,446.0,39.0,19.0
