Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL23 left,mPFC,Image,Polygon,2418.3,1993.8,0,362,36,0,1,4,321,79254.2,NaN,794.9
IL5 left,mPFC,Image,Polygon,2217.7,2022,0,1066,193,1,6,23,843,228144.7,2132.4,874.62
AC23 left,mPFC,Image,Polygon,2217.1,770.75,0,178,44,1,3,1,129,43708.8,NaN,389.96
IL23 right,mPFC,Image,Polygon,2751.3,2001.4,0,402,55,6,0,0,341,94366.3,1792.6,784.12
PL23 right,mPFC,Image,Polygon,2782.8,1245.5,0,341,64,5,4,3,265,88557.2,1788,820.5
IL5 right,mPFC,Image,Polygon,2942.4,1966.5,0,916,217,8,11,22,658,198420.6,2056.5,828.05
IL6 right,mPFC,Image,Polygon,3234.7,1960.1,0,1130,195,1,9,21,904,231881.6,2173,906.58
AC23 right,mPFC,Image,Polygon,2918.7,735.4,0,153,27,1,0,1,124,35543,905.19,370.59
PL5 right,mPFC,Image,Polygon,2983.6,1331.8,0,791,162,3,2,12,612,182159.3,1847.5,732.7
AC6 right,mPFC,Image,Polygon,3302.4,1269.7,0,186,13,11,0,2,160,38177.4,1335.8,638.56
AC5 right,mPFC,Image,Polygon,3060.5,926.91,0,429,83,1,3,5,337,95399.5,1324.8,551.85
PL6 right,mPFC,Image,Polygon,3277.9,1474,0,402,59,12,1,4,326,83220.8,NaN,524.62
AC5 left,mPFC,Image,Polygon,2048.6,960.5,0,470,117,2,4,3,344,111924.2,1422.4,591.19
AC6 left,mPFC,Image,Polygon,1787.9,1338,0,252,40,6,0,1,205,53421.9,1418,675.62
PL6 left,mPFC,Image,Polygon,1828.8,1538.6,0,361,54,4,0,1,302,76313.9,1274.8,520.49
PL5 left,mPFC,Image,Polygon,2128.7,1365.2,0,794,184,0,6,3,599,185440,1816.3,736.58
PL23 left,mPFC,Image,Polygon,2341.7,1245.8,0,402,62,2,4,6,328,91077.4,1800.4,805.22
