Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL23 left,mPFC,Image,Polygon,3577.6,2310.9,0,346,28,1,1,7,309,81337.2,1544.4,680.6
IL5 left,mPFC,Image,Polygon,3382.3,2290.7,0,636,64,8,10,14,540,150161.1,1839.5,782.99
PL5 left,mPFC,Image,Polygon,3224.4,1647.5,0,1167,127,1,2,20,1017,286011.7,2351.4,958.05
PL6 left,mPFC,Image,Polygon,2899.9,1859.3,0,554,49,0,2,7,496,121438.7,1471.1,519.69
AC23 left,mPFC,Image,Polygon,3299.4,923.08,0,168,7,0,0,2,159,37293.9,970.31,385.14
AC5 left,mPFC,Image,Polygon,3109.8,1175.9,0,629,43,2,5,18,561,149229.4,1727.8,725.48
AC6 left,mPFC,Image,Polygon,2832.9,1605.3,0,155,11,2,0,0,142,33585.6,1152.1,541.18
PL5 right,mPFC,Image,Polygon,4049.9,1572,0,1002,78,10,3,12,899,251501.6,2334.1,976.53
AC23 right,mPFC,Image,Polygon,3785,874.04,0,129,3,1,1,4,120,30659,857.67,353.44
AC5 right,mPFC,Image,Polygon,4023.6,1114.9,0,523,51,8,0,5,459,128544.9,1781.1,796.22
AC6 right,mPFC,Image,Polygon,4403.7,1520.1,0,126,13,0,0,0,113,26736.6,1114.5,527.61
PL6 right,mPFC,Image,Polygon,4408.7,1736.1,0,460,40,4,0,1,415,99208,1343.2,502.73
