Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL5 left,mPFC,Image,Polygon,3309.2,2492.8,0,580,75,8,4,3,490,121491.5,1456.8,547.22
IL23 left,mPFC,Image,Polygon,3430.9,2379.9,0,112,10,0,1,1,100,27286.6,955.08,429.64
PL5 left,mPFC,Image,Polygon,3013.5,1979.2,0,863,157,7,6,6,687,197781.1,2099.9,887.54
PL6 left,mPFC,Image,Polygon,2849.5,2266.9,0,487,86,0,0,2,399,103032.3,1459.5,571.93
AC23 left,mPFC,Image,Polygon,2774.9,1275.7,0,153,22,0,0,8,123,39525.9,977.32,425.64
AC6 left,mPFC,Image,Polygon,2723.7,2084,0,122,34,0,2,1,85,28371.5,1240.7,586.97
AC5 left,mPFC,Image,Polygon,2749.9,1579.6,0,422,103,1,1,2,315,95412.8,1518.2,691.86
IL23 right,mPFC,Image,Polygon,3733.3,2243.3,0,155,13,4,0,0,138,36730.5,994.31,425.84
IL5 right,mPFC,Image,Polygon,3907.9,2217.6,0,617,94,4,3,6,510,124299.1,1561.3,619.41
IL6 right,mPFC,Image,Polygon,4172.8,2220.5,0,1021,163,2,1,1,854,191694.3,2130.1,856.07
PL5 right,mPFC,Image,Polygon,3636.7,1597,0,1025,185,5,9,11,815,230098,2415.2,1036.7
PL6 right,mPFC,Image,Polygon,3992.5,1659.6,0,675,65,2,0,2,606,127266.6,1559.9,609.24
AC23 right,mPFC,Image,Polygon,3098.6,1018.4,0,150,35,2,2,3,108,34556,906.89,398.44
AC5 right,mPFC,Image,Polygon,3407.1,1150.8,0,492,109,6,10,11,356,110717.3,1718.6,794.47
AC6 right,mPFC,Image,Polygon,3892.8,1407.5,0,131,11,6,0,2,112,26657.1,1263.6,612.25
