Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
PL5 left,mPFC,Image,Polygon,2910.2,1416.8,0,936,266,11,11,7,641,228871.4,2170.1,921.53
AC23 left,mPFC,Image,Polygon,2984.4,703.72,0,189,46,6,1,5,131,44048.4,1042,429.78
AC5 left,mPFC,Image,Polygon,2838.8,884.16,0,443,124,6,13,9,291,107076.6,1389.7,587.15
AC6 left,mPFC,Image,Polygon,2589.7,1236.1,0,277,65,1,1,2,208,64764.8,1640.1,781.24
IL23 right,mPFC,Image,Polygon,3481.2,2268.9,0,368,34,1,1,3,329,76500.1,1887.5,893.69
PL23 right,mPFC,Image,Polygon,3469.5,1232.5,0,321,75,1,0,4,241,79520.5,NaN,966.37
IL5 right,mPFC,Image,Polygon,3670.5,2171.5,0,1148,231,4,9,17,885,244281.2,2369.4,945.69
PL5 right,mPFC,Image,Polygon,3684.3,1405.3,0,1087,336,0,5,25,721,253492.6,2272.7,965.53
PL6 right,mPFC,Image,Polygon,4003.9,1580,0,462,73,1,3,4,381,93739.7,1326.3,537.84
AC23 right,mPFC,Image,Polygon,3530.1,662.18,0,128,28,3,3,2,92,36263,967.05,397.66
AC5 right,mPFC,Image,Polygon,3708.1,895.98,0,505,136,0,16,8,345,123105.7,1693.7,759.02
AC6 right,mPFC,Image,Polygon,3990.6,1301.3,0,142,23,0,1,3,115,31456.3,1172.9,563.06
