Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL23 left,mPFC,Image,Polygon,3143.2,1753,0,438,89,0,0,1,348,95479,1696,735.1
IL5 left,mPFC,Image,Polygon,2906.1,1758,0,1104,352,4,11,11,726,244094.1,2126.9,818.31
IL6 left,mPFC,Image,Polygon,2561.8,1750.1,0,1249,259,11,1,5,973,245455.4,2204.4,906.21
PL23 left,mPFC,Image,Polygon,3091.4,925.28,0,497,104,8,5,2,378,117073.1,2102.6,973.24
PL5 left,mPFC,Image,Polygon,2853,1029.9,0,1264,419,3,18,9,815,284869.8,2330.6,949.69
PL6 left,mPFC,Image,Polygon,2472.6,1220.2,0,841,201,8,6,6,620,172005,1820.9,708.28
AC23 left,mPFC,Image,Polygon,2961.2,348.55,0,119,26,0,0,1,92,31050.5,929.89,363.06
AC5 left,mPFC,Image,Polygon,2777.7,529.16,0,567,180,1,10,6,369,127546.1,1508.5,608.39
AC6 left,mPFC,Image,Polygon,2459.8,917.84,0,268,69,2,2,4,191,57864.4,1674.9,804.31
PL23 right,mPFC,Image,Polygon,3452.3,920.85,0,414,99,5,5,7,298,106360.3,2115.5,992.29
IL5 right,mPFC,Image,Polygon,3652.2,1725.9,0,924,256,15,17,15,621,199299.2,1982.8,768.81
PL5 right,mPFC,Image,Polygon,3662.1,1024.6,0,1062,351,12,13,11,675,242393.6,2248.8,942.45
AC23 right,mPFC,Image,Polygon,3567.5,335.91,0,95,24,1,1,3,66,26072.7,854.76,325.54
PL6 right,mPFC,Image,Polygon,3990.5,1217.2,0,556,142,0,3,7,404,116640.3,1508.1,594.92
AC5 right,mPFC,Image,Polygon,3720.2,548,0,491,138,7,9,4,333,112195.8,1518.3,637.59
AC6 right,mPFC,Image,Polygon,3992.1,937.76,0,223,67,3,0,2,151,48322.4,1522,734.53
