Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL5 left,mPFC,Image,Polygon,3341.9,1951.5,0,1103,150,3,5,16,929,248411,2473.7,1034.6
IL6 left,mPFC,Image,Polygon,3101.1,2042.1,0,971,123,0,1,1,846,201511.9,2339.4,941.08
PL23 left,mPFC,Image,Polygon,3424.6,996.89,0,573,59,0,0,10,504,138198.1,2069,956.51
PL5 left,mPFC,Image,Polygon,3181.1,1194,0,1177,131,8,6,29,1003,280091.4,2353.2,1008.2
PL6 left,mPFC,Image,Polygon,2886.6,1522.5,0,510,62,3,2,6,437,106150.2,1460.1,597.46
AC23 left,mPFC,Image,Polygon,3200,463.08,0,208,6,0,0,4,198,49092.3,1034.1,391.87
AC5 left,mPFC,Image,Polygon,3033.9,776.17,0,682,41,2,8,36,595,156353.2,1792.4,735.92
AC6 left,mPFC,Image,Polygon,2784.4,1341.9,0,256,26,4,0,4,222,52611.6,1417.6,666.64
IL23 left,mPFC,Image,Polygon,3546.2,1947.6,0,590,90,0,0,5,495,140158.2,2288.1,1038.1
IL23 right,mPFC,Image,Polygon,4195.7,1871.4,0,507,50,5,2,2,448,115366.4,2194.6,1001.9
PL23 right,mPFC,Image,Polygon,4200.2,957.9,0,548,116,17,2,4,409,115203.6,2039.3,931.65
IL5 right,mPFC,Image,Polygon,4392.4,1860.7,0,1150,206,17,11,17,899,262636.3,2482.4,1023.3
IL6 right,mPFC,Image,Polygon,4689.6,1839.9,0,1281,235,1,1,4,1040,243290.1,2469.9,1009.2
PL5 right,mPFC,Image,Polygon,4437.7,1106.9,0,976,233,14,8,8,713,232429.1,2256.9,878.95
