Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL23 left,mPFC,Image,Polygon,3431.5,1891.2,0,347,42,2,2,1,300,75727.2,1812.9,841.24
IL5 left,mPFC,Image,Polygon,3224.5,1964.3,0,1228,208,8,16,33,963,275142.6,2484.3,1014.8
IL6 left,mPFC,Image,Polygon,2959.8,1946.2,0,1142,149,0,3,4,986,238446.2,2551.5,1089.3
PL23 left,mPFC,Image,Polygon,3508.2,1189.7,0,395,69,2,6,5,312,92584.3,1686.6,756.35
PL5 left,mPFC,Image,Polygon,3266.8,1252.2,0,792,132,4,10,10,636,191625.1,1828,729.06
PL6 left,mPFC,Image,Polygon,2923.2,1360.8,0,346,39,0,0,1,306,72402.1,1163.3,438.75
AC23 left,mPFC,Image,Polygon,3446.6,686.63,0,186,22,0,0,5,159,43419.9,1012.8,400.02
AC5 left,mPFC,Image,Polygon,3240.8,868.52,0,515,51,2,2,9,451,118321,1482.7,608.06
AC6 left,mPFC,Image,Polygon,2927.6,1163.4,0,159,14,1,0,2,142,33999.8,1135.4,532.73
IL23 right,mPFC,Image,Polygon,3767,1951.5,0,385,25,3,1,11,345,93229.1,1944.4,907.35
IL5 right,mPFC,Image,Polygon,3935.5,1997.7,0,920,130,8,13,17,752,203998.1,2363.6,997.63
PL23 right,mPFC,Image,Polygon,3944.1,1238.3,0,373,51,2,4,15,301,82882.6,1728.6,791.05
PL5 right,mPFC,Image,Polygon,4148.8,1369.2,0,787,127,7,9,16,628,188448.1,1925.3,789.41
PL6 right,mPFC,Image,Polygon,4428.6,1605.5,0,295,17,8,0,2,268,65361.1,1135,434.08
AC23 right,mPFC,Image,Polygon,4105.9,745.91,0,129,14,0,3,6,106,31046.8,881.68,342.82
AC5 right,mPFC,Image,Polygon,4254.9,1005.9,0,543,75,8,6,11,443,125357.4,1606.1,671.19
AC6 right,mPFC,Image,Polygon,4484.3,1440.3,0,130,14,1,1,0,114,28960.5,1098,518.65
