Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL5 left,mPFC,Image,Polygon,3657.7,2082.2,0,873,240,15,12,13,593,185523.8,1929.6,776.6
IL6 left,mPFC,Image,Polygon,3391.3,2131.5,0,973,195,0,0,1,777,190086.7,1987.2,794.79
IL23 left,mPFC,Image,Polygon,3856.5,2054.3,0,434,71,3,2,6,352,92198,1656.4,717.36
PL23 left,mPFC,Image,Polygon,3794.4,1284.6,0,404,96,0,7,6,295,96415.5,2088.7,967.68
PL5 left,mPFC,Image,Polygon,3590.4,1403.4,0,973,266,12,13,7,675,224729.4,2177.2,945.46
PL6 left,mPFC,Image,Polygon,3285.9,1643.4,0,449,97,1,0,1,350,91122.2,1364.7,558.83
AC23 left,mPFC,Image,Polygon,3682.7,682.63,0,131,29,0,1,2,99,32272,923.54,382.33
AC5 left,mPFC,Image,Polygon,3524.7,940.5,0,579,126,5,6,8,434,133673.6,1711.1,756.77
AC6 left,mPFC,Image,Polygon,3253.1,1403.9,0,265,39,0,0,2,224,54394.3,1519.5,729.31
AC23 right,mPFC,Image,Polygon,4215.3,630.39,0,133,15,4,1,6,107,33217,NaN,372.39
IL5 right,mPFC,Image,Polygon,4399.7,1990.6,0,862,219,0,17,13,613,188783.4,1918.8,751.68
PL5 right,mPFC,Image,Polygon,4367.2,1335.1,0,937,224,2,10,17,684,216278.5,2157.2,916.43
AC5 right,mPFC,Image,Polygon,4383.4,866.79,0,538,122,0,8,5,403,126735.2,1647,716.26
