Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL23 left,mPFC,Image,Polygon,3825.5,2352.5,0,407,49,13,5,6,334,92531,1825,816.95
IL5 left,mPFC,Image,Polygon,3633.3,2340.5,0,1017,245,15,28,29,700,215572.4,2195.6,867.95
PL23 left,mPFC,Image,Polygon,3803.6,1531.1,0,393,90,0,7,10,286,95601,1849.5,862.65
PL5 left,mPFC,Image,Polygon,3570,1678,0,922,219,1,10,10,682,209991.6,2033.9,845.97
PL6 left,mPFC,Image,Polygon,3262.2,1882,0,252,54,1,1,0,196,51907.2,982.68,360.54
AC23 left,mPFC,Image,Polygon,3689.9,971.75,0,230,40,0,3,11,176,52423.3,1155.4,478.79
AC6 left,mPFC,Image,Polygon,3228.1,1711.4,0,108,17,1,0,4,86,23390.3,945.4,446.06
AC5 left,mPFC,Image,Polygon,3503.4,1251.7,0,780,152,0,15,14,599,174035.8,1922.8,825.08
PL5 right,mPFC,Image,Polygon,4369.5,1678.3,0,855,199,8,8,16,624,195631.5,1992.2,828.5
AC5 right,mPFC,Image,Polygon,4442.5,1290,0,499,96,2,10,6,385,118793.7,1601.2,683.71
AC6 right,mPFC,Image,Polygon,4684.8,1703.8,0,107,21,0,0,2,84,23984.1,969.98,452.61
