Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL23 left,mPFC,Image,Polygon,3457.4,1949.2,0,425,75,0,0,0,350,93816.8,1682.6,746.64
IL5 left,mPFC,Image,Polygon,3256.4,1943.9,0,874,204,5,8,12,645,185710.1,2031.2,838.82
IL6 left,mPFC,Image,Polygon,3011.4,1958.1,0,839,192,6,1,4,636,166541,1960.5,856.96
PL23 left,mPFC,Image,Polygon,3388.4,1148.9,0,447,118,3,3,3,320,112926.5,2305.6,1074.6
PL5 left,mPFC,Image,Polygon,3155.8,1227.1,0,1266,362,13,7,8,876,289550.1,2394.7,997.79
PL6 left,mPFC,Image,Polygon,2854.7,1455.2,0,383,116,1,2,3,261,77723.6,1251.2,472.35
AC23 left,mPFC,Image,Polygon,3240.5,452.19,0,125,31,0,1,3,90,33940.4,986.83,419.76
AC5 left,mPFC,Image,Polygon,3068.6,742.99,0,673,176,0,10,7,480,161627.7,1864,803.74
AC6 left,mPFC,Image,Polygon,2806.6,1213.3,0,136,41,0,1,0,94,28211.6,1263.1,616.78
IL23 right,mPFC,Image,Polygon,3799,1961.1,0,345,40,5,0,1,299,74064.6,1620.5,710.6
IL5 right,mPFC,Image,Polygon,3973.4,1933.7,0,796,190,4,9,20,573,168768.9,1928.6,778.49
PL6 right,mPFC,Image,Polygon,4315.1,1427,0,518,165,7,1,1,344,102105,1383,530.05
AC23 right,mPFC,Image,Polygon,3840.2,414.13,0,134,35,1,2,6,90,29731.1,919.6,386.88
AC6 right,mPFC,Image,Polygon,4334.9,1182.5,0,116,40,0,1,1,74,24123.6,1156.4,560.89
AC5 right,mPFC,Image,Polygon,4024.4,702.43,0,612,184,0,4,9,415,144587.4,1858.3,817.49
PL5 right,mPFC,Image,Polygon,4003.9,1205.4,0,1127,320,10,11,19,767,254532.1,2457.7,1061.9
