Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL23 left,mPFC,Image,Polygon,3351.2,2402.4,0,514,44,12,1,7,450,118340.9,2060.6,929.52
IL5 left,mPFC,Image,Polygon,3150.9,2309.6,0,1101,138,4,10,25,924,249722.9,2506,1099.2
IL6 left,mPFC,Image,Polygon,2861.2,2178.9,0,1221,85,4,0,2,1130,254121.6,2644.4,1221.2
PL23 left,mPFC,Image,Polygon,3461.5,1398.9,0,673,73,3,3,7,587,158269.3,2630.1,1215.5
PL6 left,mPFC,Image,Polygon,2843.3,1532.5,0,753,60,5,2,5,681,155864.1,1799.2,708.66
PL5 left,mPFC,Image,Polygon,3211.1,1422.1,0,1347,219,3,9,21,1095,321045,2665.9,1092.3
AC23 left,mPFC,Image,Polygon,3540.5,665.23,0,197,38,4,0,2,153,46946.8,1035.9,404.16
AC5 left,mPFC,Image,Polygon,3297.9,842.73,0,521,102,3,6,20,390,132698.4,1637.2,699.01
AC6 left,mPFC,Image,Polygon,2897.7,1216.9,0,191,20,2,0,2,167,43067,1667.1,811.81
IL23 right,mPFC,Image,Polygon,3733.1,2419,0,467,44,1,4,10,408,109957.8,1974.4,895.37
PL23 right,mPFC,Image,Polygon,3794.5,1393.2,0,634,97,12,1,6,518,148288.5,2556.5,1199.7
AC23 right,mPFC,Image,Polygon,3954.1,685.17,0,207,31,1,0,2,173,55523.7,1067.8,416.29
AC5 right,mPFC,Image,Polygon,4122,889.67,0,462,51,8,3,8,392,115697.1,1454.6,597.88
PL6 right,mPFC,Image,Polygon,4341.7,1577.4,0,832,90,12,1,6,735,181806.6,NaN,688.13
PL5 right,mPFC,Image,Polygon,4010.6,1460.8,0,1237,243,8,13,18,955,299357.8,2562.4,1086.9
AC6 right,mPFC,Image,Polygon,4375.7,1236.6,0,208,46,1,1,2,158,46386,1334.2,626.91
