Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
PL23 left,mPFC,Image,Polygon,2984.5,2373.6,0,379,73,0,3,10,293,94838.3,1913.2,894.12
PL5 left,mPFC,Image,Polygon,2897.6,2619.6,0,821,190,8,2,7,614,183043,2026.4,873.37
PL6 left,mPFC,Image,Polygon,2769,2980,0,290,28,3,1,0,258,54833,1090.8,451.39
AC23 left,mPFC,Image,Polygon,2613.2,1925.9,0,185,37,3,0,3,142,46287.5,1049.9,459.12
AC5 left,mPFC,Image,Polygon,2627.2,2300.9,0,655,139,15,0,1,500,150838.9,1933.1,883.5
AC6 left,mPFC,Image,Polygon,2657.7,2854.8,0,196,12,3,1,2,178,34695.7,1172.7,553.25
IL23 right,mPFC,Image,Polygon,3726,2844,0,285,46,0,1,5,233,62098.5,1712.2,768.29
PL23 right,mPFC,Image,Polygon,3284.3,2189.4,0,347,84,0,1,5,257,93036.4,1957.5,906.07
IL5 right,mPFC,Image,Polygon,3865.8,2761.7,0,865,200,4,10,18,633,182513,2014.6,814.65
PL5 right,mPFC,Image,Polygon,3505.3,2162.7,0,824,269,2,2,3,548,191632.5,1994.8,839.38
PL6 right,mPFC,Image,Polygon,3859.7,2138.4,0,497,119,2,1,0,370,104592.5,1442,553.01
AC23 right,mPFC,Image,Polygon,3033.8,1658.2,0,191,35,1,0,3,152,48825.6,1055.7,448.56
AC5 right,mPFC,Image,Polygon,3310.6,1763.1,0,526,115,4,6,3,398,115379.5,1522.2,660.83
AC6 right,mPFC,Image,Polygon,3756.8,1932.1,0,199,59,0,2,0,138,42458.4,1341.7,631.04
