Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL23 left,mPFC,Image,Polygon,3937.2,1607.7,0,510,59,3,2,1,445,117323.7,2036.5,909.83
IL5 left,mPFC,Image,Polygon,3738.3,1621.2,0,982,207,0,6,12,757,205808.4,2138.2,861.73
IL6 left,mPFC,Image,Polygon,3460.3,1701.8,0,1397,286,0,1,1,1109,241076.9,2302.2,924.75
PL23 left,mPFC,Image,Polygon,4028,742.65,0,571,146,1,3,2,419,128809.4,2253.5,1058.8
PL5 left,mPFC,Image,Polygon,3779.6,855.53,0,1099,264,7,7,6,815,254564.5,2430.9,1096.5
AC23 left,mPFC,Image,Polygon,4057.1,119.51,0,139,16,7,0,1,115,31171.5,877.09,318.91
AC5 left,mPFC,Image,Polygon,3799.2,355.02,0,649,74,4,12,18,541,151217.1,1801.7,775.68
IL23 right,mPFC,Image,Polygon,4318.5,1665,0,432,57,5,3,3,364,96105.4,2025.6,945.39
IL5 right,mPFC,Image,Polygon,4503.4,1717.3,0,1055,156,2,12,13,872,227390.8,2247.1,916.54
IL6 right,mPFC,Image,Polygon,4783.3,1854.6,0,1235,166,0,1,4,1064,243070,2153.9,869.17
PL23 right,mPFC,Image,Polygon,4462.5,749.51,0,512,61,11,0,5,435,114393.6,NaN,1065
PL5 right,mPFC,Image,Polygon,4684.7,985.17,0,1398,187,18,6,21,1166,315071.3,2650.7,1178.6
PL6 right,mPFC,Image,Polygon,5002.5,1399.6,0,618,95,0,3,4,516,121437,1526.8,623.03
AC23 right,mPFC,Image,Polygon,4626.8,143.99,0,127,16,0,2,1,107,31210.7,884.39,343.2
AC5 right,mPFC,Image,Polygon,4805.6,523.73,0,800,68,6,12,52,662,181058.4,2180.9,970.79
AC6 right,mPFC,Image,Polygon,5072.5,1162.9,0,181,25,0,0,1,155,37290,1399,674.94
