Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
PL5 left,mPFC,Image,Polygon,3026.1,1481.7,0,714,105,9,7,25,568,172073.5,1867.3,767.99
AC6 left,mPFC,Image,Polygon,2701.9,1429.9,0,232,20,1,0,3,208,49719.6,1357.7,634.88
AC5 left,mPFC,Image,Polygon,2937.1,1079.8,0,383,48,1,0,14,320,94782.4,1335.9,565.29
AC23 left,mPFC,Image,Polygon,3079.2,859.82,0,121,10,1,1,5,104,30815.2,833.8,334.04
IL23 right,mPFC,Image,Polygon,3591.5,2193.6,0,385,25,0,0,2,358,87139.8,1912.7,865.63
IL5 right,mPFC,Image,Polygon,3779.2,2157.1,0,1075,188,1,19,40,827,229223.6,2243.7,903.77
IL6 right,mPFC,Image,Polygon,4048.6,2142.2,0,1042,151,6,0,2,883,213409.7,2285.9,963.96
PL23 right,mPFC,Image,Polygon,3552.5,1347.7,0,338,43,4,1,13,277,80789.1,1930.5,898.78
PL5 right,mPFC,Image,Polygon,3769.3,1438.8,0,935,163,0,6,17,749,222633.1,2147.5,916.97
PL6 right,mPFC,Image,Polygon,4104.5,1629.2,0,387,60,3,0,1,323,80660.4,1310.7,531.86
AC23 right,mPFC,Image,Polygon,3593.8,797.01,0,102,13,2,2,2,83,27776.4,799.86,308.47
AC5 right,mPFC,Image,Polygon,3788.9,1022.9,0,427,58,1,3,12,353,105555.5,1541,668.37
AC6 right,mPFC,Image,Polygon,4134.9,1442.3,0,220,23,0,1,1,195,46735.1,1386.6,663.64
