Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL23 left,mPFC,Image,Polygon,3299.9,1836.3,0,404,41,5,4,14,340,88241.1,1624.1,721.31
AC23 left,mPFC,Image,Polygon,2983.2,460.34,0,177,30,3,4,6,134,41989.1,979.39,377.08
AC5 left,mPFC,Image,Polygon,2839.4,670.48,0,472,37,3,8,29,395,112768.7,1382.3,552.83
AC6 left,mPFC,Image,Polygon,2614.9,1003.8,0,232,26,6,1,2,197,51581.4,1345.6,624.74
IL23 right,mPFC,Image,Polygon,3579.9,1814.9,0,319,42,3,6,10,258,69277.5,1545,701.92
IL5 right,mPFC,Image,Polygon,3742.2,1718.5,0,679,118,5,12,39,497,151441.8,1944.9,854.19
PL5 right,mPFC,Image,Polygon,3736.2,1062,0,799,157,1,11,29,601,191156.1,2065.4,859.07
AC23 right,mPFC,Image,Polygon,3554.4,409.54,0,145,25,0,1,4,115,36130.9,914.83,369.23
IL6 right,mPFC,Image,Polygon,3961.7,1648.4,0,782,142,11,0,2,627,176151.4,2226.9,1006.8
PL6 right,mPFC,Image,Polygon,4022,1155.3,0,277,44,1,1,1,230,59251.9,1096.4,379.52
AC5 right,mPFC,Image,Polygon,3739.2,634.39,0,432,60,1,4,10,357,101803.5,1502.1,653.23
AC6 right,mPFC,Image,Polygon,4034.9,983.33,0,96,10,0,0,1,85,22329.5,NaN,453.3
