Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL23 left,mPFC,Image,Polygon,3778.8,2797.7,0,510,41,2,3,5,459,110215.9,1917.6,859.94
IL5 left,mPFC,Image,Polygon,3570.4,2712.4,0,874,138,1,6,17,712,194170.5,2333.7,1051.3
IL6 left,mPFC,Image,Polygon,3299.8,2627,0,1056,127,0,0,0,929,198226.3,2601.8,1246.2
PL23 left,mPFC,Image,Polygon,3673.8,1910.1,0,647,123,2,7,11,504,153455.2,2418.5,1117.1
PL5 left,mPFC,Image,Polygon,3440.6,1938.4,0,1115,137,0,15,28,935,269345.1,2377.4,989.76
PL6 left,mPFC,Image,Polygon,3132.3,2051.8,0,519,61,0,1,1,456,107241.3,1443.9,552.28
AC23 left,mPFC,Image,Polygon,3542.3,1207.5,0,162,23,6,1,2,130,41689.7,NaN,388.79
AC5 left,mPFC,Image,Polygon,3372.6,1416.1,0,476,48,6,1,7,414,111862.3,1487.8,625.77
AC6 left,mPFC,Image,Polygon,3111.6,1786.2,0,131,17,2,0,0,112,29858.1,1163.4,556.6
IL23 right,mPFC,Image,Polygon,4131.6,2760.3,0,392,23,3,3,0,363,85728.6,1729.5,783.44
PL23 right,mPFC,Image,Polygon,4112.7,1879.6,0,586,42,0,3,7,534,130899.8,2420,1130.9
AC23 right,mPFC,Image,Polygon,4184.8,1177.9,0,142,4,3,0,3,132,34484,906.54,365.42
IL5 right,mPFC,Image,Polygon,4314,2645.9,0,836,124,15,10,18,669,194950.5,2265.8,1014
PL5 right,mPFC,Image,Polygon,4351.9,1843.1,0,1366,190,7,19,35,1115,318019.4,2518.6,1019.3
PL6 right,mPFC,Image,Polygon,4687,1892.5,0,613,67,1,2,12,531,134474.3,NaN,646.25
AC5 right,mPFC,Image,Polygon,4383.7,1320.8,0,419,24,5,4,26,360,96622,1342.5,534.24
AC6 right,mPFC,Image,Polygon,4695.6,1598.3,0,105,9,1,0,1,94,22224.4,1083.4,521.78
