Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
PL23 left,mPFC,Image,Polygon,3315.7,1300.1,0,524,112,1,7,18,386,127229,2066.5,924.55
PL5 left,mPFC,Image,Polygon,3041.2,1409.7,0,1239,261,9,6,15,948,293557.7,2296.7,894.18
PL6 left,mPFC,Image,Polygon,2709,1586,0,340,71,3,0,1,265,68573.7,1167.1,437.02
AC5 left,mPFC,Image,Polygon,2973.6,961.79,0,571,133,5,9,3,421,140100.6,1755.9,758.58
AC6 left,mPFC,Image,Polygon,2662.8,1386.5,0,96,22,0,0,2,72,20329.5,1081.1,526.51
IL23 right,mPFC,Image,Polygon,3682.8,2235.2,0,523,58,5,0,5,455,113941.6,2210.3,1001.4
IL5 right,mPFC,Image,Polygon,3864.9,2147.7,0,1057,159,23,1,14,860,229646.6,2461.9,1046.8
IL6 right,mPFC,Image,Polygon,4097.5,2157.5,0,1042,163,6,0,2,871,202694.6,2583.2,1135
PL23 right,mPFC,Image,Polygon,3675.6,1297.2,0,356,75,0,4,9,268,90675.5,2079.6,973.03
PL5 right,mPFC,Image,Polygon,3898.3,1402.4,0,1007,209,4,14,23,757,241539.8,2209.3,925.39
PL6 right,mPFC,Image,Polygon,4234.1,1599.8,0,355,53,1,3,10,288,72010.3,1195.5,464.54
AC23 right,mPFC,Image,Polygon,3730.3,693.71,0,103,24,0,0,5,74,27871,862.27,372.48
AC5 right,mPFC,Image,Polygon,3933.5,956.32,0,542,122,1,8,15,396,132800,1807.3,818.69
AC6 right,mPFC,Image,Polygon,4248,1402.6,0,140,27,1,0,4,108,30777,1168,557.22
