Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
PL5 left,mPFC,Image,Polygon,3182.1,1179.1,0,1027,73,1,4,18,931,264223.6,2201.7,843.57
PL6 left,mPFC,Image,Polygon,2820.1,1258.1,0,359,38,0,0,5,316,88455.8,1339.8,474.6
AC23 left,mPFC,Image,Polygon,3191.5,594.92,0,134,9,0,1,0,124,31209.7,924.76,394.95
AC5 left,mPFC,Image,Polygon,3036.6,765.31,0,413,40,0,5,3,365,107709.4,1362,497.09
AC6 left,mPFC,Image,Polygon,2771.2,1040.8,0,174,17,4,1,0,152,44854.1,1221.9,564.03
AC23 right,mPFC,Image,Polygon,3834.8,520.02,0,119,5,0,1,3,110,28963.5,759.69,314.1
PL5 right,mPFC,Image,Polygon,4071.8,1067.9,0,1030,92,4,5,20,909,261876.9,2222.8,868.5
PL6 right,mPFC,Image,Polygon,4410.6,1095.8,0,353,36,0,1,3,313,84738.5,1286.8,465.53
AC5 right,mPFC,Image,Polygon,4086.3,648.95,0,402,25,4,3,11,359,102417.1,1449.8,592.22
AC6 right,mPFC,Image,Polygon,4447.9,896.25,0,135,7,1,0,1,126,29863.8,964.8,436.74
