Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL23 left,mPFC,Image,Polygon,3393,2311.1,0,453,70,3,1,3,376,106732.9,1896.5,847.64
IL5 left,mPFC,Image,Polygon,3187.2,2293.1,0,1128,301,4,12,12,709,232894,2217.9,875.32
IL6 left,mPFC,Image,Polygon,2903.3,2281.8,0,1246,321,2,2,0,921,224632.4,2212,910.5
PL23 left,mPFC,Image,Polygon,3372,1314.6,0,519,149,3,2,6,359,129838.4,2505.6,1170.9
PL5 left,mPFC,Image,Polygon,3153.6,1464.1,0,1387,360,3,9,8,1008,303916.5,2565.3,1089.2
PL6 left,mPFC,Image,Polygon,2819.2,1671.4,0,820,254,5,2,4,555,163789.6,1762.9,690.96
AC23 left,mPFC,Image,Polygon,3255.1,655.8,0,160,46,2,0,2,110,41789.4,1015.7,382.92
AC5 left,mPFC,Image,Polygon,3072,894.21,0,599,142,1,1,6,449,144298.1,1676.8,715.94
AC6 left,mPFC,Image,Polygon,2778.9,1336.8,0,329,95,1,1,0,231,73064.6,1642.1,778.59
IL23 right,mPFC,Image,Polygon,3769.2,2304.5,0,382,66,0,2,1,313,86526,1836.4,808.88
PL23 right,mPFC,Image,Polygon,3741.3,1328.2,0,577,120,8,5,7,437,133936.2,2528.9,1189.1
PL5 right,mPFC,Image,Polygon,3962.4,1447.3,0,1361,409,4,9,4,935,302490.6,2621.3,1133.8
PL6 right,mPFC,Image,Polygon,4296.9,1668.6,0,809,271,14,5,4,515,159101.6,1783.8,710.73
AC23 right,mPFC,Image,Polygon,3818.6,657.34,0,141,37,1,1,4,98,32159.4,858.67,334.57
AC5 right,mPFC,Image,Polygon,3999.1,893.49,0,513,141,4,4,5,359,119333.9,1595.8,689.81
AC6 right,mPFC,Image,Polygon,4325.2,1372.3,0,299,88,13,1,0,197,59415.4,1680.5,805.78
