Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL23 left,mPFC,Image,Polygon,3358.7,2641.3,0,373,25,2,0,3,343,89581.2,1560.6,678.62
IL5 left,mPFC,Image,Polygon,3181.5,2700.5,0,693,110,9,5,6,563,148677.9,1721.4,665.79
PL6 left,mPFC,Image,Polygon,2745.3,2343.1,0,767,132,1,0,5,629,151339.4,1704.3,712.85
AC5 left,mPFC,Image,Polygon,2880.4,1488.6,0,697,135,11,9,12,530,164721.9,1926.8,868.03
AC6 left,mPFC,Image,Polygon,2642.8,2072.4,0,319,36,4,0,1,278,66949.5,1520.9,713.3
AC23 left,mPFC,Image,Polygon,3044.2,1168,0,230,46,0,2,0,182,55935.5,1182.7,489.21
PL5 left,mPFC,Image,Polygon,3008.8,2014.1,0,1047,209,1,4,13,820,247152.7,2386.9,1063.6
PL23 left,mPFC,Image,Polygon,3198,1832.7,0,511,74,6,0,3,428,129293.4,2336.1,1104.3
IL6 left,mPFC,Image,Polygon,2937.5,2792.8,0,777,103,0,0,3,671,156128.5,1748.6,657.08
AC23 right,mPFC,Image,Polygon,3594.6,1089.3,0,217,57,0,0,0,160,53627.8,1087.5,420.73
IL23 right,mPFC,Image,Polygon,3676.6,2539.1,0,401,42,9,1,0,349,93210.4,1581.2,671.38
IL5 right,mPFC,Image,Polygon,3874.2,2505.6,0,751,138,12,2,3,596,164658.1,1787.2,701.83
IL6 right,mPFC,Image,Polygon,4176,2461.5,0,1065,146,1,0,0,918,207836.8,1968.6,781.51
PL5 right,mPFC,Image,Polygon,3811.4,1810.5,0,1123,189,9,8,7,910,261132.2,2340,987.38
PL6 right,mPFC,Image,Polygon,4179.7,1965.8,0,814,107,2,1,1,703,165857,1795.8,701.05
AC5 right,mPFC,Image,Polygon,3816.1,1281.4,0,586,106,9,8,5,458,142446.3,1616.2,678.38
AC6 right,mPFC,Image,Polygon,4199.7,1674.9,0,417,47,3,0,2,365,88903.8,1778.3,832.56
