Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL23 left,mPFC,Image,Polygon,3540.9,2312.8,0,517,44,1,0,0,472,111374.7,1926.6,856.86
IL5 left,mPFC,Image,Polygon,3319,2298.3,0,1246,208,4,13,21,998,263830.8,2324.9,929.72
PL5 left,mPFC,Image,Polygon,3304.1,1472.2,0,1264,284,12,12,23,933,287453.6,2512.2,1052.9
PL6 left,mPFC,Image,Polygon,2969.5,1664.5,0,673,145,0,2,5,515,132883.1,NaN,641.53
AC23 left,mPFC,Image,Polygon,3459.4,659.02,0,135,20,0,2,7,106,37434.9,NaN,409.16
AC5 left,mPFC,Image,Polygon,3274.7,911.18,0,591,106,5,10,7,463,134800,1705.6,754.22
IL23 right,mPFC,Image,Polygon,3861,2319.8,0,427,44,11,2,13,357,93244.3,1846.7,825.8
PL23 right,mPFC,Image,Polygon,3880.9,1366,0,475,110,1,2,5,357,112156,2489.4,1173.8
PL5 right,mPFC,Image,Polygon,4099.4,1472.8,0,1370,321,4,8,14,1023,309591.2,2621.2,1120.1
PL6 right,mPFC,Image,Polygon,4434.7,1697.7,0,628,155,0,2,3,468,127454.9,1582.6,627.57
AC23 right,mPFC,Image,Polygon,3956.5,688.85,0,114,19,1,2,2,90,27104.5,744.88,295.34
AC5 right,mPFC,Image,Polygon,4152.5,961.1,0,476,83,0,8,9,376,106398.2,1636.6,731.18
AC6 right,mPFC,Image,Polygon,4469.2,1427.8,0,231,60,1,0,1,169,46443,1394.7,669.81
