Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL5 left,mPFC,Image,Polygon,3247,1854.9,0,758,130,1,9,22,596,166088.4,2109.5,951.86
PL6 left,mPFC,Image,Polygon,2925.8,1151.2,0,441,41,1,1,5,393,95860.1,1363.1,498.46
AC6 left,mPFC,Image,Polygon,2915.5,918.62,0,112,19,0,1,0,92,26188.4,983.97,457.66
AC5 left,mPFC,Image,Polygon,3191.6,683.71,0,337,42,0,1,5,289,82019.9,1207.8,475.51
AC23 left,mPFC,Image,Polygon,3376.1,544.59,0,110,7,0,0,2,101,28462.3,813.91,306.72
PL5 left,mPFC,Image,Polygon,3227.8,1128.9,0,963,179,4,15,19,746,224230.7,2143.1,888.59
PL23 left,mPFC,Image,Polygon,3445.8,1140.7,0,599,115,0,2,7,475,135591.5,2227.9,1040.5
IL23 right,mPFC,Image,Polygon,3741.4,1998.3,0,346,10,3,2,11,320,73827.6,1656.4,756.27
PL23 right,mPFC,Image,Polygon,3893.9,1165.4,0,471,49,0,9,22,291,122371.5,2248.6,1052.6
AC23 right,mPFC,Image,Polygon,4063.5,587.4,0,86,13,0,0,5,68,24130.3,709,268.76
IL5 right,mPFC,Image,Polygon,3918.2,1975.2,0,828,119,7,8,23,671,181471.1,2140.7,931.49
PL5 right,mPFC,Image,Polygon,4092.7,1239.6,0,1011,173,6,7,37,788,234602.7,2235.9,938.53
PL6 right,mPFC,Image,Polygon,4339.3,1389.3,0,347,55,2,0,1,289,76507.6,NaN,514.57
AC5 right,mPFC,Image,Polygon,4204.7,803.71,0,292,36,2,3,5,246,69136.7,1281.9,554.41
AC6 right,mPFC,Image,Polygon,4414.6,1216.6,0,78,13,2,0,0,63,19684.2,971.34,463.39
