Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL23 right,mPFC,Image,Polygon,3412.7,1744.2,0,523,88,0,2,2,431,114778.9,2112.3,952.72
IL5 right,mPFC,Image,Polygon,3642.7,1684.2,0,1561,411,6,32,31,1081,309335.3,2570.3,1039.9
IL6 right,mPFC,Image,Polygon,3944.5,1674.1,0,1307,268,2,1,3,1033,238133.6,2505.7,1098.9
PL23 right,mPFC,Image,Polygon,3396.3,834.12,0,395,90,1,0,3,301,95315.3,1892.3,863.95
PL5 right,mPFC,Image,Polygon,3664.7,950.64,0,1189,325,3,14,17,830,269641.5,2219.6,893.58
PL6 right,mPFC,Image,Polygon,4054.1,1121.9,0,466,103,5,5,1,352,85988.2,1297.9,504.37
AC23 right,mPFC,Image,Polygon,3438.7,326.94,0,139,41,1,1,3,93,34009,817.87,335.46
AC5 right,mPFC,Image,Polygon,3677.2,551.19,0,462,139,1,2,1,319,100990.5,1649.7,738.13
AC6 right,mPFC,Image,Polygon,4056.6,946.1,0,102,27,6,0,0,69,18758.9,1114.3,539.68
IL23 left,mPFC,Image,Polygon,3074.4,1740.9,0,602,65,13,4,5,515,131320.1,2161.7,967.92
IL5 left,mPFC,Image,Polygon,2860.4,1707.8,0,1190,298,4,17,30,841,262305.5,2469,1039.2
IL6 left,mPFC,Image,Polygon,2594.9,1682,0,952,199,11,1,3,738,198522.3,2433,1091.9
PL23 left,mPFC,Image,Polygon,3018.4,883.12,0,415,98,3,8,10,296,102029.2,1894,856.23
PL5 left,mPFC,Image,Polygon,2774.1,961.48,0,1068,348,9,19,12,679,247109.3,2146.7,868.88
PL6 left,mPFC,Image,Polygon,2441.2,1138,0,441,67,4,2,2,366,91835.6,1305.6,492.67
AC23 left,mPFC,Image,Polygon,2928.6,321.66,0,142,51,1,2,0,88,33759.6,914.99,365.97
AC5 left,mPFC,Image,Polygon,2721.7,525.57,0,560,152,9,7,4,388,128992.7,1648.6,713.38
AC6 left,mPFC,Image,Polygon,2418.6,917.99,0,120,16,6,0,0,97,27220.1,1107.9,528.97
