Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
PL23 left,mPFC,Image,Polygon,3692.6,1273.7,0,619,70,2,5,14,528,149985.1,2557.7,1201.3
PL5 left,mPFC,Image,Polygon,3481.4,1355,0,1089,153,0,14,22,900,254073,2537.6,1101.2
PL6 left,mPFC,Image,Polygon,3178.3,1508.3,0,690,97,2,4,2,585,140041.2,1714.4,676.78
AC23 left,mPFC,Image,Polygon,3685.1,557.34,0,141,15,0,0,3,123,36398.5,917.33,379.07
AC5 left,mPFC,Image,Polygon,3505.7,770.21,0,445,68,3,10,5,359,107370,1552,698.79
AC6 left,mPFC,Image,Polygon,3189.8,1190.7,0,270,39,2,0,1,228,55319.7,1593.8,770.38
IL5 right,mPFC,Image,Polygon,4208.7,2212.9,0,508,70,2,4,8,424,103969.9,1523.1,636.26
IL23 right,mPFC,Image,Polygon,4059.6,2185.5,0,292,23,0,1,4,264,60589.3,1319.7,561.1
PL23 right,mPFC,Image,Polygon,4103.7,1345.7,0,562,110,1,6,10,434,126381.5,2696,1281.1
PL5 right,mPFC,Image,Polygon,4299.9,1448.2,0,1251,160,1,17,24,1049,287850.6,2716.2,1230.6
PL6 right,mPFC,Image,Polygon,4569.4,1771.9,0,671,88,3,1,1,578,128221.3,1723.9,731.45
AC23 right,mPFC,Image,Polygon,4170.4,603.72,0,146,32,0,1,2,111,30691.7,821.12,319.23
AC5 right,mPFC,Image,Polygon,4337.2,900.54,0,474,66,4,12,14,378,109146,1727.3,775.47
AC6 right,mPFC,Image,Polygon,4626.5,1527.5,0,156,17,0,0,0,139,29770.6,1497.3,734.24
