Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
PL23 left,mPFC,Image,Polygon,2681,1656.3,0,530,95,0,4,7,420,128341.5,2308.9,1076.9
PL5 left,mPFC,Image,Polygon,2525.5,1843.9,0,914,151,2,6,8,747,210931.3,2284.3,1008.6
AC23 left,mPFC,Image,Polygon,2439.9,1095.3,0,133,8,0,1,3,121,31411.1,849.14,343.59
AC5 left,mPFC,Image,Polygon,2362.5,1376.1,0,407,42,3,2,6,354,97212.4,1546.9,697.45
AC6 left,mPFC,Image,Polygon,2251.9,1890.4,0,145,21,1,0,1,122,33976.1,1510.7,740.03
PL6 left,mPFC,Image,Polygon,2321.5,2134.1,0,422,52,1,1,4,364,91896.7,1476.6,624.19
IL23 left,mPFC,Image,Polygon,2891.4,2467.8,0,331,31,0,1,5,294,71420.2,1506.3,652.15
IL5 left,mPFC,Image,Polygon,2707.6,2488.9,0,702,96,1,5,13,587,150830.1,1710.4,698.9
IL6 left,mPFC,Image,Polygon,2440.2,2496.2,0,546,67,5,0,0,474,109388.8,1459.8,598.69
IL23 right,mPFC,Image,Polygon,3292.5,2345.3,0,301,36,0,1,6,258,64408.7,1423.7,627.42
IL6 right,mPFC,Image,Polygon,3665.1,2196.4,0,621,80,0,1,3,537,114899.3,1639.5,704.68
PL23 right,mPFC,Image,Polygon,3051.3,1556.5,0,462,67,5,2,5,383,119190.6,2365.2,1108.9
PL5 right,mPFC,Image,Polygon,3276.3,1621.7,0,1002,182,4,9,12,795,229388,2345.8,1018.1
PL6 right,mPFC,Image,Polygon,3597.2,1747.6,0,415,61,0,0,1,353,85519.6,1343,545.44
AC23 right,mPFC,Image,Polygon,2902,915.4,0,145,22,0,2,4,117,36547.2,941.41,393.29
AC5 right,mPFC,Image,Polygon,3146.9,1120.5,0,457,85,1,6,7,358,103754.9,1712.7,795.21
AC6 right,mPFC,Image,Polygon,3535.4,1513.7,0,106,19,3,0,2,82,22127.7,1163.6,566.27
