Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Num points,Area um^2,Perimeter µm,Max length µm
IL23 left,mPFC,Image,Polygon,3199.7,2297.8,0,336,52,2,0,1,281,NaN,80498.2,1638.3,728.96
PL23 left,mPFC,Image,Polygon,3147.3,1337.6,0,602,96,2,4,16,484,NaN,153321.4,2688.4,1264.3
IL5 left,mPFC,Image,Polygon,3024.3,2226.3,0,712,158,2,10,18,524,NaN,163319.8,2049.5,903.48
IL6 left,mPFC,Image,Polygon,2758.2,2148.2,0,1160,364,4,3,7,782,NaN,238430,2569.8,1176.8
PL5 left,mPFC,Image,Polygon,2926.8,1391.4,0,1275,310,4,18,29,914,NaN,305167.5,NaN,1128.2
PL6 left,mPFC,Image,Polygon,2639.3,1535.7,0,603,150,2,0,0,451,NaN,129060.6,NaN,704.39
AC23 left,mPFC,Image,Polygon,3033.4,587,0,218,47,7,1,5,158,NaN,53681.1,1104.4,448.79
AC5 left,mPFC,Image,Polygon,2839.5,798.53,0,559,168,9,8,3,371,NaN,134288.6,1619.6,696.21
AC6 left,mPFC,Image,Polygon,2551,1285.8,0,239,58,0,0,1,180,NaN,49510,1568.3,760.23
IL23 right,mPFC,Image,Polygon,3502.6,2268.2,0,336,59,1,3,6,267,66811.5,NaN,702.38,
PL23 right,mPFC,Image,Polygon,3477.4,1334,0,605,126,0,9,15,455,151668.5,NaN,1304.6,
IL5 right,mPFC,Image,Polygon,3674.1,2189,0,862,209,3,32,25,593,167052.9,2017.5,883.91,
PL5 right,mPFC,Image,Polygon,3705,1374.5,0,1423,353,3,18,29,1020,312738.3,2702.2,1148.9,
PL6 right,mPFC,Image,Polygon,3992.1,1515.3,0,483,142,0,1,5,335,94201.7,1509.2,632.29,
IL6 right,mPFC,Image,Polygon,3909.8,2101.6,0,989,287,5,1,7,689,182173.8,2409.3,1118.1,
AC23 right,mPFC,Image,Polygon,3544.6,562.59,0,174,45,6,1,3,119,42505.4,1024.3,396.53,
AC5 right,mPFC,Image,Polygon,3744.3,805.71,0,637,144,9,10,12,462,144692.5,1703.7,714.56,
AC6 right,mPFC,Image,Polygon,4056.5,1276.1,0,214,63,0,2,2,147,42247.6,1323.7,636.97,
