Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL23 right,mPFC,Image,Polygon,3534.9,1757.8,0,216,35,5,2,1,173,46237.4,1142.4,485.95
IL5 right,mPFC,Image,Polygon,3746.6,1742.4,0,775,209,0,7,7,552,157642,1599.7,617.66
PL5 right,mPFC,Image,Polygon,3731.4,1151.1,0,1112,307,4,2,2,797,243369.7,2266.1,960.37
AC5 right,mPFC,Image,Polygon,3744.5,662.76,0,465,80,1,2,3,379,104425,1526.5,671.8
IL23 left,mPFC,Image,Polygon,3201.6,1906.1,0,345,40,0,0,3,302,77587.4,1701.5,750.6
IL5 left,mPFC,Image,Polygon,3019.4,1901.6,0,859,202,1,12,20,624,186471.7,1944.3,788.36
IL6 left,mPFC,Image,Polygon,2761.8,1889.4,0,885,197,0,8,8,672,169037.2,NaN,813.65
PL23 left,mPFC,Image,Polygon,3129.2,1055.4,0,460,87,3,4,5,361,106559.1,2223.4,1034.6
PL6 left,mPFC,Image,Polygon,2684.2,1316.8,0,667,151,1,11,12,492,134645.7,1699.2,684.35
PL5 left,mPFC,Image,Polygon,2944.8,1143.8,0,971,217,4,4,8,738,220275.4,2237.3,953.32
AC23 left,mPFC,Image,Polygon,3009.5,431.83,0,134,23,0,1,0,110,32279.3,915.12,368.21
AC5 left,mPFC,Image,Polygon,2868.6,615.66,0,415,66,5,1,2,341,98388.4,1386.7,595.9
AC6 left,mPFC,Image,Polygon,2663.2,964.02,0,191,31,5,0,5,150,44064.8,1455.3,704.3
