Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL6 left,mPFC,Image,Polygon,2208,2248.6,0,1271,159,0,1,9,1102,242284.4,2370.7,935.62
IL5 left,mPFC,Image,Polygon,2487.5,2143.8,0,869,120,7,3,17,722,182251.8,1907.9,737.5
IL23 left,mPFC,Image,Polygon,2662.2,2080.3,0,300,25,1,2,0,272,69798.2,1528.4,693.3
PL23 left,mPFC,Image,Polygon,2495,1370.9,0,368,58,4,1,11,294,91816.1,1962.8,908.32
PL5 left,mPFC,Image,Polygon,2326.9,1498.7,0,860,112,6,3,11,728,198234.4,2050.9,865.28
PL6 left,mPFC,Image,Polygon,2074.3,1746.7,0,475,103,0,2,3,367,100389.4,1478.2,609.11
AC23 left,mPFC,Image,Polygon,2290.6,852.93,0,109,10,2,1,5,91,26782.6,769.96,297.43
AC5 left,mPFC,Image,Polygon,2181.7,1079,0,340,62,0,4,6,268,83098,1331.4,578.61
AC6 left,mPFC,Image,Polygon,2000.7,1526.8,0,259,48,0,2,3,206,55001.8,1599.3,769.47
IL5 right,mPFC,Image,Polygon,3197.2,1984.1,0,908,129,2,4,5,768,183902.1,1973,765.58
PL23 right,mPFC,Image,Polygon,2845.7,1251.6,0,367,90,1,2,3,269,89097.6,2017.1,932.46
PL5 right,mPFC,Image,Polygon,3094.9,1322.5,0,1043,186,8,8,16,825,237950.5,2186.5,921.36
PL6 right,mPFC,Image,Polygon,3464.4,1466.8,0,457,54,0,2,1,400,84603.6,1286.2,501.24
AC23 right,mPFC,Image,Polygon,2716.5,729.54,0,117,34,1,1,4,77,29472.3,776.66,327.48
AC5 right,mPFC,Image,Polygon,3009.4,928.14,0,387,76,1,6,4,300,85579.4,1671.3,784.05
AC6 right,mPFC,Image,Polygon,3439.3,1278.9,0,93,9,2,0,1,81,17359.2,1108.2,540.33
