Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
PL5 left,mPFC,Image,Polygon,3460.6,1101.1,0,969,189,1,15,25,739,224185.1,2087.1,866.49
PL6 left,mPFC,Image,Polygon,3125.2,1269,0,472,70,0,1,4,397,94563.7,NaN,550.7
AC23 left,mPFC,Image,Polygon,3662.8,423.6,0,254,22,7,0,5,220,58233.5,1147.5,437.86
AC5 left,mPFC,Image,Polygon,3445.2,634.76,0,558,62,1,11,19,465,129699.2,1611.1,691.08
AC6 left,mPFC,Image,Polygon,3099,1056.5,0,242,17,1,1,4,219,49439.2,1468.4,702.16
IL23 right,mPFC,Image,Polygon,4051.3,1836.4,0,390,50,2,0,1,337,91302.8,1828.2,823.28
PL23 left,mPFC,Image,Polygon,3707.8,985.47,0,539,85,1,3,10,440,121222.5,2014.4,916.31
PL23 right,mPFC,Image,Polygon,4156.2,1041.3,0,442,98,6,1,5,332,101742.3,1953.1,889.52
IL5 right,mPFC,Image,Polygon,4242.8,1850.3,0,1013,220,25,12,16,740,225319.8,2236,908.7
IL6 right,mPFC,Image,Polygon,4510.4,1873.5,0,1175,174,22,2,5,972,230783.7,2482.2,1082.4
PL6 right,mPFC,Image,Polygon,4657.1,1357.6,0,425,58,6,1,3,357,87437.3,1350.9,526.91
PL5 right,mPFC,Image,Polygon,4363,1147.6,0,946,166,18,9,7,746,219862.6,2078,852.67
AC23 right,mPFC,Image,Polygon,4291,498.44,0,135,23,4,0,0,108,33232.9,867.71,350.24
AC5 right,mPFC,Image,Polygon,4455,733.24,0,427,55,5,1,6,360,104616,1519.5,666.71
AC6 right,mPFC,Image,Polygon,4702.9,1166.4,0,137,10,3,1,0,123,29205.8,1245.2,595.87
