Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL23 left,mPFC,Image,Polygon,3604.5,2753.4,0,498,61,1,2,0,434,105770,1824.4,808.1
IL5 left,mPFC,Image,Polygon,3371.8,2716,0,1120,188,24,7,12,889,236542.9,2334.7,1003.5
IL6 left,mPFC,Image,Polygon,3077.4,2708.7,0,1365,218,22,1,0,1124,244636.4,2453.6,1049
PL23 left,mPFC,Image,Polygon,3466.4,1822.6,0,607,140,3,3,2,459,147521.6,2559.2,1190.9
PL5 left,mPFC,Image,Polygon,3213.9,1927.8,0,1536,297,9,12,12,1206,353369.5,2742.2,1062
AC23 left,mPFC,Image,Polygon,3307.1,1107.8,0,197,21,4,2,5,165,47122.6,1040.2,415.69
AC5 left,mPFC,Image,Polygon,3133.2,1357.9,0,541,76,10,5,7,443,124465.2,1570.7,638.76
IL23 right,mPFC,Image,Polygon,3979.6,2720.8,0,426,28,2,1,3,391,96231.9,1750.3,788.83
IL5 right,mPFC,Image,Polygon,4166.5,2613.3,0,897,123,6,3,18,747,199727.6,2189.2,944.53
PL23 right,mPFC,Image,Polygon,3865.4,1758.7,0,687,90,2,2,4,589,160437.4,2665.5,1248.7
PL5 right,mPFC,Image,Polygon,4118,1803.1,0,1438,220,18,5,15,1180,327804.8,2642.2,1103.4
PL6 right,mPFC,Image,Polygon,4468.3,1907.6,0,583,87,6,1,3,486,116773.2,1504,574.53
AC23 right,mPFC,Image,Polygon,3832.1,1012.3,0,250,10,1,0,4,235,52983.5,1091.4,426.21
AC5 right,mPFC,Image,Polygon,4095.4,1241.3,0,683,34,10,4,30,605,154496.9,1837.6,806.55
AC6 right,mPFC,Image,Polygon,4466.2,1639.8,0,167,26,4,1,2,134,32074.9,1140.6,536.86
