Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL23 left,mPFC,Image,Polygon,3163.4,2330.1,0,414,59,5,2,7,341,96760.4,1917.1,861.4
IL5 left,mPFC,Image,Polygon,2966.5,2270.9,0,1155,260,4,29,43,819,239133.9,2330.8,1002.5
PL23 left,mPFC,Image,Polygon,3156.5,1400.6,0,480,72,1,3,5,379,125926.3,2330.8,1086.5
PL5 left,mPFC,Image,Polygon,2939.9,1451.9,0,1089,321,7,19,17,725,254793.8,2299.6,958.74
AC23 left,mPFC,Image,Polygon,3053.7,731.66,0,176,35,0,2,5,134,45845.7,1087.2,438.74
AC5 left,mPFC,Image,Polygon,2890.3,926.23,0,494,143,0,21,7,323,115464.4,1527.4,642.64
AC6 left,mPFC,Image,Polygon,2634.1,1362.5,0,102,28,0,1,4,69,22307.6,1362.5,668.8
IL23 right,mPFC,Image,Polygon,3438.4,2326.3,0,364,72,4,4,9,275,83276.8,1864.9,872.07
PL23 right,mPFC,Image,Polygon,3474.8,1389.2,0,423,94,0,7,7,315,106365,2356.1,1139.8
AC23 right,mPFC,Image,Polygon,3604.4,749.2,0,144,36,0,5,1,102,38808.9,950.52,401.13
IL5 right,mPFC,Image,Polygon,3625.9,2243.3,0,1105,253,16,14,34,788,245579.4,2472.4,1075.9
IL6 right,mPFC,Image,Polygon,3849.7,2059.7,0,651,120,4,4,8,515,132312.7,2567,1172.9
PL5 right,mPFC,Image,Polygon,3651.3,1464.6,0,824,246,3,15,13,547,190749.4,2118.8,927.57
PL6 right,mPFC,Image,Polygon,3910.4,1561.5,0,214,41,0,1,0,172,48562.1,1016.8,361.85
AC5 right,mPFC,Image,Polygon,3732.7,988.19,0,454,113,8,12,4,317,109227.5,1572.8,706.95
AC6 right,mPFC,Image,Polygon,3931.6,1356.9,0,158,40,0,3,7,108,36475.3,1155.1,545.58
