Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL23 left,mPFC,Image,Polygon,3455.2,2529.6,0,596,58,1,4,12,521,128225.2,2032.7,882.06
IL5 left,mPFC,Image,Polygon,3249.9,2455.6,0,1051,105,6,2,6,932,231662.3,2270.6,939.28
IL6 left,mPFC,Image,Polygon,3008.3,2379.9,0,846,63,5,1,0,777,172967.1,2222.3,977.69
PL23 left,mPFC,Image,Polygon,3653.3,1636,0,643,90,4,2,9,538,159929.4,2408.3,1106.1
PL5 left,mPFC,Image,Polygon,3378.7,1665.8,0,1259,194,16,9,12,1028,308661.5,2519.2,1061.8
PL6 left,mPFC,Image,Polygon,3000.3,1794.4,0,579,50,5,0,2,522,125639.5,1534.1,592.12
AC23 left,mPFC,Image,Polygon,3723.4,943.97,0,141,32,1,0,2,106,37065.6,NaN,400.59
AC5 left,mPFC,Image,Polygon,3455.9,1143.1,0,640,119,1,8,12,499,148768.7,1836.3,817.68
AC6 left,mPFC,Image,Polygon,3041.8,1507.4,0,166,11,0,1,2,152,36603.6,1324.7,635.78
PL23 right,mPFC,Image,Polygon,4054.3,1677.8,0,652,91,3,3,8,547,145569.4,2361.4,1088.8
PL5 right,mPFC,Image,Polygon,4272.8,1806.3,0,1152,191,2,7,12,940,250977.1,2402,1045
PL6 right,mPFC,Image,Polygon,4579.4,2053.9,0,554,62,2,0,2,488,109525,1531.5,632.43
AC23 right,mPFC,Image,Polygon,4217,1007.7,0,157,31,0,1,2,123,37631.9,968.92,424.64
AC5 right,mPFC,Image,Polygon,4367.9,1284.9,0,651,108,4,7,12,520,149184,1784.9,795.34
AC6 right,mPFC,Image,Polygon,4609.7,1756.4,0,326,33,0,1,5,287,63960.2,1711.3,823.4
