Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL5 left,mPFC,Image,Polygon,3585.5,2194.7,0,915,129,4,6,18,758,201029.1,2031.8,815.62
IL6 left,mPFC,Image,Polygon,3309,2292.4,0,1000,94,1,0,4,901,199232.5,1974.4,729.54
PL5 left,mPFC,Image,Polygon,3507,1530,0,938,94,3,3,15,823,217574.5,2185.2,974.47
PL6 left,mPFC,Image,Polygon,3181.9,1848,0,536,56,5,2,1,472,106864,1445.5,584.45
AC5 left,mPFC,Image,Polygon,3417.4,1107.7,0,687,70,3,4,16,594,161346.8,1893.7,840.27
AC6 left,mPFC,Image,Polygon,3110.9,1646.2,0,339,27,0,0,1,311,70678.5,1515.4,691.03
AC23 left,mPFC,Image,Polygon,3609.6,779.22,0,161,19,0,0,1,141,41939.4,958.2,393.81
AC23 right,mPFC,Image,Polygon,4102.5,779.57,0,150,12,6,1,0,131,33844.5,873.91,332.8
IL5 right,mPFC,Image,Polygon,4298.3,2138.6,0,919,95,19,3,13,789,199554.2,2018.7,818.25
IL6 right,mPFC,Image,Polygon,4626.4,2238.5,0,1282,109,3,0,0,1170,254977.2,2111.8,790.09
PL5 right,mPFC,Image,Polygon,4318.9,1471.5,0,1093,133,4,1,3,952,260251.7,2316.4,1021.3
PL6 right,mPFC,Image,Polygon,4724.7,1774.5,0,767,74,4,0,2,687,154212.6,1741.8,712.84
AC5 right,mPFC,Image,Polygon,4350,1034.5,0,639,83,4,0,5,547,149725.1,1843,811.66
AC6 right,mPFC,Image,Polygon,4770.8,1544.8,0,364,30,0,0,0,334,71877,1668.7,787.5
